id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:50,844 --> 00:00:57,183",It's funny how you wake up each day and never really know if it will be one that will change your life forever.,"00:00:50,844","00:00:57,183",50.844,57.183,6.338999999999999
2,"00:00:58,143 --> 00:00:59,853",But that's what this day was.,"00:00:58,143","00:00:59,853",58.143,59.853,1.7100000000000009
3,"00:00:59,936 --> 00:01:03,982",The day I left the city to spend a week in the house where my mother grew up.,"00:00:59,936","00:01:03,982",59.936,63.982,4.045999999999999
4,"00:01:04,607 --> 00:01:06,401",A day I'll never forget.,"00:01:04,607","00:01:06,401",64.607,66.401,1.793999999999997
5,"00:01:06,494 --> 00:01:12,501",So many years have passed Almost there.,"00:01:06,494","00:01:12,501",66.494,72.501,6.007000000000005
6,"00:01:12,521 --> 00:01:18,528",Feeling all right?,"00:01:12,521","00:01:18,528",72.521,78.528,6.007000000000005
7,"00:01:18,830 --> 00:01:20,373",I'm okay.,"00:01:18,830","00:01:20,373",78.83,80.373,1.5430000000000064
8,"00:01:22,427 --> 00:01:39,403","I left my childhood In a garden green Come in the garden And look at the trees I used to play there when I was a child Oh, Hara.","00:01:22,427","00:01:39,403",82.427,99.403,16.976
9,"00:01:39,423 --> 00:01:56,399",How many times have I told her?,"00:01:39,423","00:01:56,399",99.423,116.399,16.976
10,"00:01:57,545 --> 00:01:58,387",Wait here.,"00:01:57,545","00:01:58,387",117.545,118.387,0.8419999999999987
11,"00:01:58,407 --> 00:01:59,249",All right?,"00:01:58,407","00:01:59,249",118.407,119.249,0.8419999999999987
12,"00:01:59,269 --> 00:02:00,111",I won't be a minute.,"00:01:59,269","00:02:00,111",119.269,120.111,0.8419999999999987
13,"00:02:00,205 --> 00:02:01,372",Okay.,"00:02:00,205","00:02:01,372",120.205,121.372,1.1670000000000016
14,"00:02:04,385 --> 00:02:06,451",Hara!,"00:02:04,385","00:02:06,451",124.385,126.451,2.0659999999999883
15,"00:02:06,471 --> 00:02:08,537",Your car's blocking the driveway again.,"00:02:06,471","00:02:08,537",126.471,128.537,2.0660000000000025
16,"00:02:09,557 --> 00:02:55,604",So many years have passed The dew is still on the roses I left my childhood In a garden green Shawn?,"00:02:09,557","00:02:55,604",129.557,175.604,46.047000000000025
17,"00:02:55,624 --> 00:03:41,671",Where are you?,"00:02:55,624","00:03:41,671",175.624,221.671,46.047
18,"00:03:50,815 --> 00:03:51,899",Shawn?,"00:03:50,815","00:03:51,899",230.815,231.899,1.0840000000000032
19,"00:03:52,317 --> 00:03:54,360","I'm here, Aunt Jessica.","00:03:52,317","00:03:54,360",232.317,234.36,2.0430000000000064
20,"00:03:55,069 --> 00:03:57,030",Come meet Hara!,"00:03:55,069","00:03:57,030",235.069,237.03,1.9610000000000127
21,"00:04:28,895 --> 00:04:41,783",Supper is done and night has come Let's have tea together near the fireplace Nice try.,"00:04:28,895","00:04:41,783",268.895,281.783,12.888000000000034
22,"00:04:45,286 --> 00:04:58,758","My house, my home ls so small, so pretty My mom, my dad We are family Joy everywhere Hey, back off!","00:04:45,286","00:04:58,758",285.286,298.758,13.47199999999998
23,"00:05:01,062 --> 00:05:01,959",Hey!,"00:05:01,062","00:05:01,959",301.062,301.959,0.8969999999999914
24,"00:05:01,979 --> 00:05:02,876",Go get your own!,"00:05:01,979","00:05:02,876",301.979,302.876,0.8969999999999914
25,"00:05:23,491 --> 00:05:24,992",Arrietty!,"00:05:23,491","00:05:24,992",323.491,324.992,1.5010000000000332
26,"00:05:25,076 --> 00:05:26,160",What?,"00:05:25,076","00:05:26,160",325.076,326.16,1.0840000000000032
27,"00:05:26,703 --> 00:05:28,788","You went outside again, didn't you?","00:05:26,703","00:05:28,788",326.703,328.788,2.0850000000000364
28,"00:05:29,924 --> 00:05:31,281",How many times have I...,"00:05:29,924","00:05:31,281",329.924,331.281,1.3570000000000277
29,"00:05:31,301 --> 00:05:32,658",What happened to your room?,"00:05:31,301","00:05:32,658",331.301,332.658,1.3570000000000277
30,"00:05:32,750 --> 00:05:34,419",It's my own little garden.,"00:05:32,750","00:05:34,419",332.75,334.419,1.6689999999999827
31,"00:05:34,627 --> 00:05:38,172",If you ask me it looks more like your own little jungle.,"00:05:34,627","00:05:38,172",334.627,338.172,3.545000000000016
32,"00:05:39,590 --> 00:05:41,634",Is that a bay leaf?,"00:05:39,590","00:05:41,634",339.59,341.634,2.0440000000000396
33,"00:05:45,221 --> 00:05:46,514",Where did you get that?,"00:05:45,221","00:05:46,514",345.221,346.514,1.2930000000000064
34,"00:05:48,015 --> 00:05:50,184","I wanted to wait and give it to you on your birthday, but...","00:05:48,015","00:05:50,184",348.015,350.184,2.1690000000000396
35,"00:05:50,268 --> 00:05:51,894",Happy birthday!,"00:05:50,268","00:05:51,894",350.268,351.894,1.6260000000000332
36,"00:05:54,939 --> 00:05:58,943",This will last me all year.,"00:05:54,939","00:05:58,943",354.939,358.943,4.003999999999962
37,"00:06:00,111 --> 00:06:02,405",But the bay tree is so far away.,"00:06:00,111","00:06:02,405",360.111,362.405,2.2939999999999827
38,"00:06:02,488 --> 00:06:04,866",If a bean saw you it would...,"00:06:02,488","00:06:04,866",362.488,364.866,2.377999999999986
39,"00:06:05,074 --> 00:06:06,200",Beans don't scare me.,"00:06:05,074","00:06:06,200",365.074,366.2,1.1259999999999764
40,"00:06:06,294 --> 00:06:07,609",The beans should scare you.,"00:06:06,294","00:06:07,609",366.294,367.609,1.3149999999999977
41,"00:06:07,629 --> 00:06:08,944",That's what worries me.,"00:06:07,629","00:06:08,944",367.629,368.944,1.3149999999999977
42,"00:06:09,036 --> 00:06:10,955",The world is a dangerous place for a Borrower.,"00:06:09,036","00:06:10,955",369.036,370.955,1.9189999999999827
43,"00:06:11,622 --> 00:06:13,833",Your Aunt Eggletina wasn't scared either and she...,"00:06:11,622","00:06:13,833",371.622,373.833,2.2110000000000127
44,"00:06:13,926 --> 00:06:15,325",Was eaten by a toad.,"00:06:13,926","00:06:15,325",373.926,375.325,1.399000000000001
45,"00:06:15,345 --> 00:06:16,744","I know, I know.","00:06:15,345","00:06:16,744",375.345,376.744,1.399000000000001
46,"00:06:17,211 --> 00:06:19,589",If you don't like your gift I can put it in my room.,"00:06:17,211","00:06:19,589",377.211,379.589,2.377999999999986
47,"00:06:19,964 --> 00:06:21,466","No, no, I should keep it.","00:06:19,964","00:06:21,466",379.964,381.466,1.5020000000000095
48,"00:06:22,508 --> 00:06:24,552",I have just the recipe for these.,"00:06:22,508","00:06:24,552",382.508,384.552,2.0440000000000396
49,"00:06:24,635 --> 00:06:26,429",I'll have your father borrow some sugar.,"00:06:24,635","00:06:26,429",384.635,386.429,1.7939999999999827
50,"00:06:26,888 --> 00:06:28,765","Oh, you don't have to.","00:06:26,888","00:06:28,765",386.888,388.765,1.8770000000000095
51,"00:06:28,931 --> 00:06:31,601",Because tonight I'll borrow some for you.,"00:06:28,931","00:06:31,601",388.931,391.601,2.670000000000016
52,"00:06:31,684 --> 00:06:32,977",What?,"00:06:31,684","00:06:32,977",391.684,392.977,1.2929999999999495
53,"00:06:33,561 --> 00:06:35,480",Don't tell me you forgot!,"00:06:33,561","00:06:35,480",393.561,395.48,1.9190000000000396
54,"00:06:35,563 --> 00:06:37,690",Tonight's my first borrowing!,"00:06:35,563","00:06:37,690",395.563,397.69,2.1270000000000095
55,"00:06:37,774 --> 00:06:39,942","Look, Papa's home.","00:06:37,774","00:06:39,942",397.774,399.942,2.1680000000000064
56,"00:06:41,704 --> 00:06:42,727",Papa.,"00:06:41,704","00:06:42,727",401.704,402.727,1.0229999999999677
57,"00:06:42,747 --> 00:06:43,770","Papa, I made it all the way to the bay tree today.","00:06:42,747","00:06:43,770",402.747,403.77,1.0229999999999677
58,"00:06:44,989 --> 00:06:46,908",And I used the leaves over my head just like you said.,"00:06:44,989","00:06:46,908",404.989,406.908,1.9190000000000396
59,"00:06:46,991 --> 00:06:49,452",And I didn't even get seen by the cat.,"00:06:46,991","00:06:49,452",406.991,409.452,2.4610000000000127
60,"00:06:49,545 --> 00:06:51,548","So, what I'm trying to say, - if there was any doubt...","00:06:49,545","00:06:51,548",409.545,411.548,2.002999999999986
61,"00:06:51,568 --> 00:06:53,571",- There's a new bean in the house.,"00:06:51,568","00:06:53,571",411.568,413.571,2.0030000000000427
62,"00:06:53,664 --> 00:06:54,791",What?,"00:06:53,664","00:06:54,791",413.664,414.791,1.1270000000000095
63,"00:06:54,884 --> 00:06:55,726",- I know.,"00:06:54,884","00:06:55,726",414.884,415.726,0.8419999999999845
64,"00:06:55,746 --> 00:06:56,588",I saw him.,"00:06:55,746","00:06:56,588",415.746,416.588,0.8420000000000414
65,"00:06:56,608 --> 00:06:57,450","- Arrietty, I told you to be...","00:06:56,608","00:06:57,450",416.608,417.45,0.8419999999999845
66,"00:06:57,543 --> 00:06:59,587","Yes, Mama, I was careful and he didn't see me.","00:06:57,543","00:06:59,587",417.543,419.587,2.0439999999999827
67,"00:06:59,670 --> 00:07:01,798",And he's much smaller than other beans.,"00:06:59,670","00:07:01,798",419.67,421.798,2.127999999999986
68,"00:07:01,881 --> 00:07:04,759","Papa, you just have to let me come borrowing tonight.","00:07:01,881","00:07:04,759",421.881,424.759,2.8780000000000427
69,"00:07:06,010 --> 00:07:07,720",We know nothing about this new bean.,"00:07:06,010","00:07:07,720",426.01,427.72,1.7100000000000364
70,"00:07:07,804 --> 00:07:09,972",But you promised this would be my night.,"00:07:07,804","00:07:09,972",427.804,429.972,2.1680000000000064
71,"00:07:10,056 --> 00:07:11,140",And I've seen him.,"00:07:10,056","00:07:11,140",430.056,431.14,1.0840000000000032
72,"00:07:11,224 --> 00:07:13,935","Papa, please, I am telling you, he's just a child.","00:07:11,224","00:07:13,935",431.224,433.935,2.7110000000000127
73,"00:07:14,268 --> 00:07:17,188",And the children are more vicious than the grownups.,"00:07:14,268","00:07:17,188",434.268,437.188,2.920000000000016
74,"00:07:17,271 --> 00:07:19,357",I'll be fine.,"00:07:17,271","00:07:19,357",437.271,439.357,2.0860000000000127
75,"00:07:23,110 --> 00:07:25,321","Well, the young beans do go to bed early.","00:07:23,110","00:07:25,321",443.11,445.321,2.2110000000000127
76,"00:07:25,530 --> 00:07:27,865","Oh, thank you, Papa!","00:07:25,530","00:07:27,865",445.53,447.865,2.3350000000000364
77,"00:07:28,241 --> 00:07:29,700",Pod!,"00:07:28,241","00:07:29,700",448.241,449.7,1.4590000000000032
78,"00:07:29,794 --> 00:07:31,213",The boy is very sickly and weak.,"00:07:29,794","00:07:31,213",449.794,451.213,1.4190000000000396
79,"00:07:31,233 --> 00:07:32,652",She'll be fine.,"00:07:31,233","00:07:32,652",451.233,452.652,1.4189999999999827
80,"00:07:32,745 --> 00:07:33,788",But...,"00:07:32,745","00:07:33,788",452.745,453.788,1.0430000000000064
81,"00:07:35,967 --> 00:07:37,574","Oh, and don't worry, Mother.","00:07:35,967","00:07:37,574",455.967,457.574,1.6070000000000277
82,"00:07:37,594 --> 00:07:39,201",I'll get Papa back safely.,"00:07:37,594","00:07:39,201",457.594,459.201,1.6070000000000277
83,"00:07:42,213 --> 00:07:44,882",Arrietty will be turning 14 soon.,"00:07:42,213","00:07:44,882",462.213,464.882,2.6689999999999827
84,"00:07:44,966 --> 00:07:47,593",She'll need to know how to take care of herself out there.,"00:07:44,966","00:07:47,593",464.966,467.593,2.6270000000000095
85,"00:07:47,677 --> 00:07:49,136",Without our help.,"00:07:47,677","00:07:49,136",467.677,469.136,1.4590000000000032
86,"00:07:49,220 --> 00:07:53,224",Sometimes I worry that we are the only Borrowers left.,"00:07:49,220","00:07:53,224",469.22,473.224,4.003999999999962
87,"00:07:55,059 --> 00:07:56,644",What'll become of us?,"00:07:55,059","00:07:56,644",475.059,476.644,1.5849999999999795
88,"00:08:11,450 --> 00:08:13,452","Remember what the doctor said, Shawn.","00:08:11,450","00:08:13,452",491.45,493.452,2.0020000000000095
89,"00:08:13,546 --> 00:08:14,756",Your heart needs rest.,"00:08:13,546","00:08:14,756",493.546,494.756,1.2099999999999795
90,"00:08:14,776 --> 00:08:15,986",No excitement.,"00:08:14,776","00:08:15,986",494.776,495.986,1.2099999999999795
91,"00:08:16,090 --> 00:08:17,447","- Is that clear, Hara?","00:08:16,090","00:08:17,447",496.09,497.447,1.3570000000000277
92,"00:08:17,467 --> 00:08:18,824","- Yes, ma'am, I'll see to it.","00:08:17,467","00:08:18,824",497.467,498.824,1.3570000000000277
93,"00:08:18,926 --> 00:08:21,325","Whatever you need, Shawn, you ask Hara, - and she'll get it for you, all right?","00:08:18,926","00:08:21,325",498.926,501.325,2.399000000000001
94,"00:08:21,345 --> 00:08:23,744","- Yes, Aunt Jessica.","00:08:21,345","00:08:23,744",501.345,503.744,2.399000000000001
95,"00:08:23,838 --> 00:08:25,506","Make him feel at home, Hara.","00:08:23,838","00:08:25,506",503.838,505.506,1.6679999999999495
96,"00:08:25,590 --> 00:08:26,966","Yes, ma'am.","00:08:25,590","00:08:26,966",505.59,506.966,1.3760000000000332
97,"00:08:35,308 --> 00:08:38,019",We'll start by keeping the bugs out.,"00:08:35,308","00:08:38,019",515.308,518.019,2.7110000000000127
98,"00:09:23,356 --> 00:09:26,400",Don't you think you should wear something a little darker and longer?,"00:09:23,356","00:09:26,400",563.356,566.4,3.0439999999999827
99,"00:09:26,484 --> 00:09:28,694","No, I think this one's perfect.","00:09:26,484","00:09:28,694",566.484,568.694,2.2099999999999227
100,"00:09:31,614 --> 00:09:34,575","So, I need you to get me some tissue paper and some sugar.","00:09:31,614","00:09:34,575",571.614,574.575,2.9610000000000127
101,"00:09:34,659 --> 00:09:39,288","Oh, and promise, dear husband, you won't let our daughter get eaten or squashed like a bug.","00:09:34,659","00:09:39,288",574.659,579.288,4.629000000000019
102,"00:09:39,382 --> 00:09:40,655","Oh, please God.","00:09:39,382","00:09:40,655",579.382,580.655,1.2730000000000246
103,"00:09:40,675 --> 00:09:41,948",Please help them.,"00:09:40,675","00:09:41,948",580.675,581.948,1.2730000000000246
104,"00:09:44,428 --> 00:09:45,159",Don't worry about me.,"00:09:44,428","00:09:45,159",584.428,585.159,0.7309999999999945
105,"00:09:45,179 --> 00:09:45,910",Everything's fine.,"00:09:45,179","00:09:45,910",585.179,585.91,0.7309999999999945
106,"00:09:48,933 --> 00:09:49,663","Okay, bye, Mom.","00:09:48,933","00:09:49,663",588.933,589.663,0.7300000000000182
107,"00:09:49,683 --> 00:09:50,413",I love you.,"00:09:49,683","00:09:50,413",589.683,590.413,0.7300000000000182
108,"00:09:50,518 --> 00:09:51,263","Oh, goodbye.","00:09:50,518","00:09:51,263",590.518,591.263,0.7450000000000045
109,"00:09:51,283 --> 00:09:52,028","Love you, too.","00:09:51,283","00:09:52,028",591.283,592.028,0.7450000000000045
110,"00:09:52,048 --> 00:09:52,793",Stay close to your father.,"00:09:52,048","00:09:52,793",592.048,592.793,0.7450000000000045
111,"00:09:52,885 --> 00:10:01,936",I will Do I get one of those?,"00:09:52,885","00:10:01,936",592.885,601.936,9.051000000000045
112,"00:10:02,738 --> 00:10:03,532",Nope?,"00:10:02,738","00:10:03,532",602.738,603.532,0.7939999999999827
113,"00:10:03,552 --> 00:10:04,346",Okay.,"00:10:03,552","00:10:04,346",603.552,604.346,0.7939999999999827
114,"00:10:25,710 --> 00:10:26,919",Arrietty!,"00:10:25,710","00:10:26,919",625.71,626.919,1.2089999999999463
115,"00:10:45,563 --> 00:10:46,814",Did you see that?,"00:10:45,563","00:10:46,814",645.563,646.814,1.2509999999999764
116,"00:10:46,897 --> 00:10:48,232",That's my girl.,"00:10:46,897","00:10:48,232",646.897,648.232,1.3349999999999227
117,"00:10:54,697 --> 00:10:56,240",Don't look down.,"00:10:54,697","00:10:56,240",654.697,656.24,1.5430000000000064
118,"00:10:57,491 --> 00:10:59,994",One step at a time.,"00:10:57,491","00:10:59,994",657.491,659.994,2.5030000000000427
119,"00:11:27,114 --> 00:11:28,137",All right.,"00:11:27,114","00:11:28,137",687.114,688.137,1.0229999999999109
120,"00:11:28,157 --> 00:11:29,180",You need to hold this for me.,"00:11:28,157","00:11:29,180",688.157,689.18,1.0229999999999109
121,"00:11:29,273 --> 00:11:30,608",Okay.,"00:11:29,273","00:11:30,608",689.273,690.608,1.3349999999999227
122,"00:12:02,807 --> 00:12:05,976","Arrietty, make sure you hold on tight.","00:12:02,807","00:12:05,976",722.807,725.976,3.1689999999999827
123,"00:12:51,814 --> 00:12:53,023",Arrietty!,"00:12:51,814","00:12:53,023",771.814,773.023,1.20900000000006
124,"00:12:53,242 --> 00:12:54,348",- Let's go.,"00:12:53,242","00:12:54,348",773.242,774.348,1.1059999999999945
125,"00:12:54,368 --> 00:12:55,474",- Right.,"00:12:54,368","00:12:55,474",774.368,775.474,1.1059999999999945
126,"00:14:15,940 --> 00:14:18,734",It's so big.,"00:14:15,940","00:14:18,734",855.94,858.734,2.7939999999999827
127,"00:14:19,902 --> 00:14:22,112","Papa, what is this place?","00:14:19,902","00:14:22,112",859.902,862.112,2.2099999999999227
128,"00:14:22,655 --> 00:14:25,241",This is where beans store all their food.,"00:14:22,655","00:14:25,241",862.655,865.241,2.5860000000000127
129,"00:14:25,324 --> 00:14:26,784",The sugar is over there.,"00:14:25,324","00:14:26,784",865.324,866.784,1.4600000000000364
