id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,010 --> 00:00:29,530","Tokuma Shoten, Studio Ghibli, Nippon Television Network, Buena Vista Home Entertainment, Hakuhodo, Mitsubishi and Toho Present If you find yourself troubled by something mysterious...","00:00:07,010","00:00:29,530",7.01,29.53,22.520000000000003
2,"00:00:29,530 --> 00:00:31,780",or a problem that's hard to solve...,"00:00:29,530","00:00:31,780",29.53,31.78,2.25
3,"00:00:31,780 --> 00:00:33,700",there's a place you can go...,"00:00:31,780","00:00:33,700",31.78,33.7,1.9200000000000017
4,"00:00:33,700 --> 00:00:38,040",a place where...,"00:00:33,700","00:00:38,040",33.7,38.04,4.339999999999996
5,"00:00:56,600 --> 00:00:58,210",Oh no!,"00:00:56,600","00:00:58,210",56.6,58.21,1.6099999999999994
6,"00:00:59,230 --> 00:01:00,730","Haru, are you awake?","00:00:59,230","00:01:00,730",59.23,60.73,1.5
7,"00:01:00,730 --> 00:01:01,990",Just got up!,"00:01:00,730","00:01:01,990",60.73,61.99,1.2600000000000051
8,"00:01:11,620 --> 00:01:12,250",Good.,"00:01:11,620","00:01:12,250",71.62,72.25,0.6299999999999955
9,"00:01:15,540 --> 00:01:16,750",Morning.,"00:01:15,540","00:01:16,750",75.54,76.75,1.2099999999999937
10,"00:01:16,750 --> 00:01:18,250",Really...,"00:01:16,750","00:01:18,250",76.75,78.25,1.5
11,"00:01:18,250 --> 00:01:20,460",Why bother to set your alarm clock?,"00:01:18,250","00:01:20,460",78.25,80.46,2.2099999999999937
12,"00:01:20,880 --> 00:01:22,010",Bye.,"00:01:20,880","00:01:22,010",80.88,82.01,1.1300000000000097
13,"00:01:22,020 --> 00:01:23,080",Aren't you having breakfast?,"00:01:22,020","00:01:23,080",82.02,83.08,1.0600000000000023
14,"00:01:23,100 --> 00:01:24,160",It's so delicious.,"00:01:23,100","00:01:24,160",83.1,84.16,1.0600000000000023
15,"00:01:27,550 --> 00:01:29,220","Oh, so delicious.","00:01:27,550","00:01:29,220",87.55,89.22,1.6700000000000017
16,"00:01:30,510 --> 00:01:31,930",Not fair.,"00:01:30,510","00:01:31,930",90.51,91.93,1.4200000000000017
17,"00:01:31,930 --> 00:01:33,390",Bye.,"00:01:31,930","00:01:33,390",91.93,93.39,1.4599999999999937
18,"00:01:56,210 --> 00:01:57,580",My shoe!,"00:01:56,210","00:01:57,580",116.21,117.58,1.3700000000000045
19,"00:02:01,540 --> 00:02:02,500",Excuse me.,"00:02:01,540","00:02:02,500",121.54,122.5,0.9599999999999937
20,"00:02:02,500 --> 00:02:03,760",Oh no!,"00:02:02,500","00:02:03,760",122.5,123.76,1.2600000000000051
21,"00:02:09,220 --> 00:02:11,390",The Kingdom is now gone.,"00:02:09,220","00:02:11,390",129.22,131.39,2.1699999999999875
22,"00:02:11,390 --> 00:02:13,810",Yet the mountains and rivers remain.,"00:02:11,390","00:02:13,810",131.39,133.81,2.420000000000016
23,"00:02:13,810 --> 00:02:19,440",The castle draped in the dense greens of spring.,"00:02:13,810","00:02:19,440",133.81,139.44,5.6299999999999955
24,"00:02:19,900 --> 00:02:21,060",Yoshioka.,"00:02:19,900","00:02:21,060",139.9,141.06,1.1599999999999966
25,"00:02:21,070 --> 00:02:22,240",You don't have time to sneak in.,"00:02:21,070","00:02:22,240",141.07,142.24,1.170000000000016
26,"00:02:22,260 --> 00:02:23,430",Just get to your seat.,"00:02:22,260","00:02:23,430",142.26,143.43,1.170000000000016
27,"00:02:23,440 --> 00:02:24,440","Yes, sir.","00:02:23,440","00:02:24,440",143.44,144.44,1
28,"00:02:26,690 --> 00:02:28,320",Caught again.,"00:02:26,690","00:02:28,320",146.69,148.32,1.6299999999999955
29,"00:02:47,010 --> 00:03:04,270",The Cat Returns I hate this.,"00:02:47,010","00:03:04,270",167.01,184.27,17.26000000000002
30,"00:03:04,270 --> 00:03:07,530",Late again and embarrassed in front of the whole class.,"00:03:04,270","00:03:07,530",184.27,187.53,3.259999999999991
31,"00:03:07,860 --> 00:03:09,780",Machida-kun was laughing at me too.,"00:03:07,860","00:03:09,780",187.86,189.78,1.9199999999999875
32,"00:03:09,780 --> 00:03:11,200",He was laughing.,"00:03:09,780","00:03:11,200",189.78,191.2,1.4199999999999875
33,"00:03:11,820 --> 00:03:12,700",Why?,"00:03:11,820","00:03:12,700",191.82,192.7,0.8799999999999955
34,"00:03:12,700 --> 00:03:14,910",What's wrong with me?,"00:03:12,700","00:03:14,910",192.7,194.91,2.210000000000008
35,"00:03:15,580 --> 00:03:19,290","Well, this must be a sign.","00:03:15,580","00:03:19,290",195.58,199.29,3.7099999999999795
36,"00:03:19,290 --> 00:03:22,630",Something even worse is about to begin.,"00:03:19,290","00:03:22,630",199.29,202.63,3.3400000000000034
37,"00:03:22,960 --> 00:03:24,790",Thanks for the sympathy.,"00:03:22,960","00:03:24,790",202.96,204.79,1.829999999999984
