id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,174 --> 00:00:25,067","Studio Ghibli, Nippon Television Network, Dentsu, Hakuhodo DYMP, Walt Disney Japan, Mitsubishi and Toho Present Only in silence the word, only in dark the light, only in dying life: bright the hawk's flight! on the empty sky.","00:00:07,174","00:00:25,067",7.174,25.067,17.893
2,"00:00:25,359 --> 00:00:47,598",- The Creation of Éa Ease the Sail!,"00:00:25,359","00:00:47,598",25.359,47.598,22.238999999999997
3,"00:00:50,592 --> 00:00:52,390",It's blowing too hard!,"00:00:50,592","00:00:52,390",50.592,52.39,1.7980000000000018
4,"00:00:54,106 --> 00:00:55,546",Curse it!,"00:00:54,106","00:00:55,546",54.106,55.546,1.4399999999999977
5,"00:00:55,566 --> 00:00:57,006",A storm this time of year?,"00:00:55,566","00:00:57,006",55.566,57.006,1.4399999999999977
6,"00:00:57,026 --> 00:00:58,466",Where's my Weatherworker?,"00:00:57,026","00:00:58,466",57.026,58.466,1.4399999999999977
7,"00:00:58,986 --> 00:01:01,532",What are you waiting for?,"00:00:58,986","00:01:01,532",58.986,61.532,2.5459999999999994
8,"00:01:01,552 --> 00:01:04,098",Calm the waves before we sink!,"00:01:01,552","00:01:04,098",61.552,64.098,2.5459999999999994
9,"00:01:05,774 --> 00:01:07,151",What's wrong?,"00:01:05,774","00:01:07,151",65.774,67.151,1.3769999999999953
10,"00:01:07,160 --> 00:01:09,205",Captain...,"00:01:07,160","00:01:09,205",67.16,69.205,2.0450000000000017
11,"00:01:09,225 --> 00:01:11,270",I can't remember them.,"00:01:09,225","00:01:11,270",69.225,71.27,2.0450000000000017
12,"00:01:11,280 --> 00:01:14,534",I can't remember the True Names of wind and waves.,"00:01:11,280","00:01:14,534",71.28,74.534,3.254000000000005
13,"00:01:16,128 --> 00:01:17,217",What?,"00:01:16,128","00:01:17,217",76.128,77.217,1.0889999999999986
14,"00:01:17,237 --> 00:01:18,326",Are you mad?,"00:01:17,237","00:01:18,326",77.237,78.326,1.0889999999999986
15,"00:01:18,328 --> 00:01:19,750",Captain!,"00:01:18,328","00:01:19,750",78.328,79.75,1.421999999999997
16,"00:01:19,746 --> 00:01:22,044",There's something above the clouds!,"00:01:19,746","00:01:22,044",79.746,82.044,2.298000000000002
17,"00:01:24,668 --> 00:01:25,920",Where?,"00:01:24,668","00:01:25,920",84.668,85.92,1.2519999999999953
18,"00:01:28,046 --> 00:01:29,468",What is that?,"00:01:28,046","00:01:29,468",88.046,89.468,1.421999999999997
19,"00:01:52,956 --> 00:01:54,626",A dragon!,"00:01:52,956","00:01:54,626",112.956,114.626,1.6700000000000017
20,"00:01:54,646 --> 00:01:56,316",What is it doing here?,"00:01:54,646","00:01:56,316",114.646,116.316,1.6700000000000017
21,"00:01:56,325 --> 00:01:58,168",There's another one!,"00:01:56,325","00:01:58,168",116.325,118.168,1.8430000000000035
22,"00:02:30,077 --> 00:02:31,542",Dragons fighting?,"00:02:30,077","00:02:31,542",150.077,151.542,1.4650000000000034
23,"00:02:31,562 --> 00:02:33,027",That's impossible!,"00:02:31,562","00:02:33,027",151.562,153.027,1.464999999999975
24,"00:02:59,638 --> 00:03:04,064","More than 2,000 sheep have taken the fever in Enlad alone.","00:02:59,638","00:03:04,064",179.638,184.064,4.425999999999988
25,"00:03:04,476 --> 00:03:07,070",Half of them have died.,"00:03:04,476","00:03:07,070",184.476,187.07,2.593999999999994
26,"00:03:07,354 --> 00:03:09,777",Seven hundred cattle have been infected.,"00:03:07,354","00:03:09,777",187.354,189.777,2.4229999999999734
27,"00:03:09,773 --> 00:03:12,071",We've lost 50 head so far.,"00:03:09,773","00:03:12,071",189.773,192.071,2.298000000000002
28,"00:03:12,401 --> 00:03:17,908","In fact, a baby on Taon has also come down with the fever.","00:03:12,401","00:03:17,908",192.401,197.908,5.506999999999977
29,"00:03:19,908 --> 00:03:21,501",Silence!,"00:03:19,908","00:03:21,501",199.908,201.501,1.5930000000000177
30,"00:03:22,703 --> 00:03:26,082","If we panic, what will become of the People?","00:03:22,703","00:03:26,082",202.703,206.082,3.3789999999999907
31,"00:03:26,331 --> 00:03:28,299",Seal off the affected areas.,"00:03:26,331","00:03:28,299",206.331,208.299,1.9680000000000177
32,"00:03:28,291 --> 00:03:32,592",Send every healer in the kingdom to find a cure.,"00:03:28,291","00:03:32,592",208.291,212.592,4.301000000000016
33,"00:03:32,879 --> 00:03:36,008",Send provisions to those who need them.,"00:03:32,879","00:03:36,008",212.879,216.008,3.129000000000019
