id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:04,604 --> 00:00:14,820","A Team Nanban (594mgnav) Release September 21, 1945.","00:00:04,604","00:00:14,820",4.604,14.82,10.216000000000001
2,"00:00:14,840 --> 00:00:25,056",That was the night I died.,"00:00:14,840","00:00:25,056",14.84,25.056,10.216000000000001
3,"00:00:56,098 --> 00:00:58,015",So disgusting!,"00:00:56,098","00:00:58,015",56.098,58.015,1.9170000000000016
4,"00:00:58,517 --> 00:00:59,725",Watch it!,"00:00:58,517","00:00:59,725",58.517,59.725,1.2079999999999984
5,"00:01:00,769 --> 00:01:01,978",He's filthy.,"00:01:00,769","00:01:01,978",60.769,61.978,1.2090000000000032
6,"00:01:02,104 --> 00:01:03,437",Is he dead?,"00:01:02,104","00:01:03,437",62.104,63.437,1.3329999999999984
7,"00:01:03,564 --> 00:01:05,731",Such a disgraceful sight.,"00:01:03,564","00:01:05,731",63.564,65.731,2.1669999999999945
8,"00:01:05,941 --> 00:01:08,776",Don't want Americans to see this!,"00:01:05,941","00:01:08,776",65.941,68.776,2.8349999999999937
9,"00:01:17,869 --> 00:01:19,620",Mama!,"00:01:17,869","00:01:19,620",77.869,79.62,1.7510000000000048
10,"00:01:21,290 --> 00:01:24,709",What day is it today?,"00:01:21,290","00:01:24,709",81.29,84.709,3.418999999999997
11,"00:01:35,345 --> 00:01:37,305",Setsuko...,"00:01:35,345","00:01:37,305",95.345,97.305,1.960000000000008
12,"00:01:47,608 --> 00:01:49,108",Another one...,"00:01:47,608","00:01:49,108",107.608,109.108,1.5
13,"00:02:03,248 --> 00:02:04,665",What's this?,"00:02:03,248","00:02:04,665",123.248,124.665,1.4170000000000016
14,"00:02:04,801 --> 00:02:06,324",Don't bother.,"00:02:04,801","00:02:06,324",124.801,126.324,1.5229999999999961
15,"00:02:06,344 --> 00:02:07,867",Just toss it.,"00:02:06,344","00:02:07,867",126.344,127.867,1.5230000000000103
16,"00:02:20,057 --> 00:02:22,475",This one is going too.,"00:02:20,057","00:02:22,475",140.057,142.475,2.4180000000000064
17,"00:02:22,684 --> 00:02:25,353",Those blank eyes tell you it's over.,"00:02:22,684","00:02:25,353",142.684,145.353,2.669000000000011
18,"00:03:20,627 --> 00:04:08,279","""Sakuma's Drops"" GRAVE OF THE FIREFLIES Production Designer & Executive Producer Ryoichi Sato Original Story by Akiyuki Nosaka Character Design Yoshifumi Kondo Art Director Nizo Yamamoto Music Michio Mamiya Layout Yoshiyuki Momose Character Color Design Michiyo Yasuda Director of Photography Nobuo Koyama Sound Design Yasuo Urakami Producer Toru Hara Written and Directed by Isao Takahata Everyone!","00:03:20,627","00:04:08,279",200.627,248.279,47.65199999999999
19,"00:04:08,299 --> 00:04:55,951",To the shelters!,"00:04:08,299","00:04:55,951",248.299,295.951,47.652000000000015
20,"00:04:58,173 --> 00:05:00,174",Hear it's a large formation.,"00:04:58,173","00:05:00,174",298.173,300.174,2.0009999999999764
21,"00:05:00,300 --> 00:05:03,844",The shelter behind the firehouse should be safe.,"00:05:00,300","00:05:03,844",300.3,303.844,3.5439999999999827
22,"00:05:03,970 --> 00:05:06,514",Maybe they'll bomb elsewhere this time?,"00:05:03,970","00:05:06,514",303.97,306.514,2.5439999999999827
23,"00:05:08,016 --> 00:05:09,350",Makes me hot.,"00:05:08,016","00:05:09,350",308.016,309.35,1.3340000000000032
24,"00:05:09,518 --> 00:05:12,394",Now be a good girl and put this on.,"00:05:09,518","00:05:12,394",309.518,312.394,2.876000000000033
25,"00:05:16,691 --> 00:05:19,777",I'll have a head start now.,"00:05:16,691","00:05:19,777",316.691,319.777,3.0860000000000127
26,"00:05:20,028 --> 00:05:22,905","You two, be sure to hurry along.","00:05:20,028","00:05:22,905",320.028,322.905,2.8769999999999527
27,"00:05:23,740 --> 00:05:26,700","Setsuko, listen to your big brother.","00:05:23,740","00:05:26,700",323.74,326.7,2.9599999999999795
28,"00:05:27,327 --> 00:05:29,620","Mama, you should hurry and go!","00:05:27,327","00:05:29,620",327.327,329.62,2.2930000000000064
29,"00:05:29,746 --> 00:05:31,121","Yes, dear.","00:05:29,746","00:05:31,121",329.746,331.121,1.375
30,"00:05:32,040 --> 00:05:34,375","Mama, you got your medicine?","00:05:32,040","00:05:34,375",332.04,334.375,2.3349999999999795
31,"00:05:34,501 --> 00:05:36,710","Yes, I got it.","00:05:34,501","00:05:36,710",334.501,336.71,2.209000000000003
32,"00:05:41,258 --> 00:05:43,133",I don't like shelters.,"00:05:41,258","00:05:43,133",341.258,343.133,1.875
33,"00:05:43,260 --> 00:05:45,886",You want to get blown to bits?,"00:05:43,260","00:05:45,886",343.26,345.886,2.626000000000033
34,"00:05:46,054 --> 00:05:47,555",Climb on!,"00:05:46,054","00:05:47,555",346.054,347.555,1.5010000000000332
35,"00:05:53,854 --> 00:05:55,855",My doll!,"00:05:53,854","00:05:55,855",353.854,355.855,2.001000000000033
36,"00:06:07,826 --> 00:06:09,410",To the shelters!,"00:06:07,826","00:06:09,410",367.826,369.41,1.5840000000000032
37,"00:06:09,911 --> 00:06:10,744",Seita.,"00:06:09,911","00:06:10,744",369.911,370.744,0.8330000000000268
38,"00:06:24,426 --> 00:06:25,926",Heads down!,"00:06:24,426","00:06:25,926",384.426,385.926,1.5
39,"00:06:38,732 --> 00:06:40,024",No!,"00:06:38,732","00:06:40,024",398.732,400.024,1.2919999999999732
40,"00:07:28,500 --> 00:07:29,300",Seita!,"00:07:28,500","00:07:29,300",448.5,449.3,0.8000000000000114
41,"00:07:29,320 --> 00:07:30,120",Seita!,"00:07:29,320","00:07:30,120",449.32,450.12,0.8000000000000114
42,"00:07:30,140 --> 00:07:30,940",Seita!,"00:07:30,140","00:07:30,940",450.14,450.94,0.8000000000000114
43,"00:07:43,380 --> 00:07:44,880",Seita!,"00:07:43,380","00:07:44,880",463.38,464.88,1.5
44,"00:08:44,576 --> 00:08:45,973",Hurry!,"00:08:44,576","00:08:45,973",524.576,525.973,1.3969999999999345
45,"00:08:45,993 --> 00:08:47,390",Did you get everything?,"00:08:45,993","00:08:47,390",525.993,527.39,1.3969999999999345
46,"00:08:47,912 --> 00:08:49,059",Don't forget that!,"00:08:47,912","00:08:49,059",527.912,529.059,1.1469999999999345
47,"00:08:49,079 --> 00:08:50,226",Quick!,"00:08:49,079","00:08:50,226",529.079,530.226,1.1470000000000482
48,"00:09:42,248 --> 00:09:45,793",Long live the Emperor!,"00:09:42,248","00:09:45,793",582.248,585.793,3.544999999999959
49,"00:10:05,990 --> 00:10:07,471",Don't worry.,"00:10:05,990","00:10:07,471",605.99,607.471,1.4809999999999945
50,"00:10:07,491 --> 00:10:08,972",We're safe here.,"00:10:07,491","00:10:08,972",607.491,608.972,1.4809999999999945
51,"00:10:09,984 --> 00:10:12,569",Where did Mama go?,"00:10:09,984","00:10:12,569",609.984,612.569,2.5849999999999227
52,"00:10:12,987 --> 00:10:14,947",She's in the shelter.,"00:10:12,987","00:10:14,947",612.987,614.947,1.9600000000000364
53,"00:10:16,209 --> 00:10:18,900",It could stand even a 250-kg bomb.,"00:10:16,209","00:10:18,900",616.209,618.9,2.691000000000031
