id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:01:07,471 --> 00:01:44,050","HOWL'S MOVING CASTLE Miss Sophie, I've closed up the shop.","00:01:07,471","00:01:44,050",67.471,104.05,36.57899999999999
2,"00:01:44,258 --> 00:01:46,677","You should come too, Sophie.","00:01:44,258","00:01:46,677",104.258,106.677,2.419000000000011
3,"00:01:46,896 --> 00:01:48,356",I'll just finish this.,"00:01:46,896","00:01:48,356",106.896,108.356,1.4599999999999937
4,"00:01:48,376 --> 00:01:49,836",Go have some fun.,"00:01:48,376","00:01:49,836",108.376,109.836,1.4599999999999937
5,"00:01:50,139 --> 00:01:51,932","All right, then, I'm off.","00:01:50,139","00:01:51,932",110.139,111.932,1.7930000000000064
6,"00:01:52,892 --> 00:01:54,226",I'm going.,"00:01:52,892","00:01:54,226",112.892,114.226,1.3340000000000032
7,"00:01:55,269 --> 00:01:57,313","Look, it's Howl's castle.","00:01:55,269","00:01:57,313",115.269,117.313,2.043999999999997
8,"00:01:57,531 --> 00:01:57,970",What?,"00:01:57,531","00:01:57,970",117.531,117.97,0.43899999999999295
9,"00:01:57,990 --> 00:01:58,429",Howl?,"00:01:57,990","00:01:58,429",117.99,118.429,0.43900000000000716
10,"00:01:58,449 --> 00:01:58,888","Where, where?","00:01:58,449","00:01:58,888",118.449,118.888,0.43900000000000716
11,"00:01:59,106 --> 00:02:00,941",Look how close it is.,"00:01:59,106","00:02:00,941",119.106,120.941,1.835000000000008
12,"00:02:01,609 --> 00:02:03,027","Oh, no!","00:02:01,609","00:02:03,027",121.609,123.027,1.4180000000000064
13,"00:02:03,235 --> 00:02:05,154",I wonder if Howl's in town.,"00:02:03,235","00:02:05,154",123.235,125.154,1.918999999999997
14,"00:02:13,537 --> 00:02:14,246",It took off.,"00:02:13,537","00:02:14,246",133.537,134.246,0.7090000000000032
15,"00:02:14,455 --> 00:02:17,166","No, just hiding from all the soldiers.","00:02:14,455","00:02:17,166",134.455,137.166,2.7109999999999843
16,"00:02:17,385 --> 00:02:18,678","Say, did you hear?","00:02:17,385","00:02:18,678",137.385,138.678,1.2930000000000064
17,"00:02:18,698 --> 00:02:19,991","Remember Martha, from South Haven?","00:02:18,698","00:02:19,991",138.698,139.991,1.2930000000000064
18,"00:02:20,211 --> 00:02:22,296",They say Howl tore her heart out.,"00:02:20,211","00:02:22,296",140.211,142.296,2.0849999999999795
19,"00:02:22,505 --> 00:02:23,214",How scary...,"00:02:22,505","00:02:23,214",142.505,143.214,0.7090000000000032
20,"00:02:23,422 --> 00:02:26,217","Don't worry, he's not going to want yours.","00:02:23,422","00:02:26,217",143.422,146.217,2.795000000000016
21,"00:02:27,802 --> 00:02:28,886",Hurry up.,"00:02:27,802","00:02:28,886",147.802,148.886,1.0840000000000032
22,"00:02:30,429 --> 00:02:32,264",Really?,"00:02:30,429","00:02:32,264",150.429,152.264,1.835000000000008
