id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,174 --> 00:01:14,900","Studio Ghibli, Nippon Television Network,  Dentsu, Hakuhodo DYMP, Walt Disney Japan,  Mitsubishi, Toho and KDDI present The Tale of the Princess Kaguya Executive Producer: Seiichiro Ujiie Based on the Japanese Folktale ""The Tale of the Bamboo Cutter"" Original Concept: Isao Takahata Screenplay: Isao Takahata, Riko Sakaguchi Music: Joe Hisaishi Theme Song: Kazumi Nikaido Character Design and Directing Animator: Osamu Tanabe Art Director: Kazuo Oga Planning: Toshio Suzuki Producer: Yoshiaki Nishimura Director: Isao Takahata Once upon a time long long ago now, there lived an old bamboo cutter.","00:00:07,174","00:01:14,900",7.174,74.9,67.726
2,"00:01:15,400 --> 00:01:24,400","He would make his way into the mountain forest and cut wild bamboo, from which he made all sorts of useful things...","00:01:15,400","00:01:24,400",75.4,84.4,9
3,"00:01:24,900 --> 00:01:29,215",His name was Sanuki no Miyatsuko.,"00:01:24,900","00:01:29,215",84.9,89.215,4.314999999999998
4,"00:01:31,200 --> 00:01:36,700",One day he noticed a light shining from inside a bamboo stalk...,"00:01:31,200","00:01:36,700",91.2,96.7,5.5
5,"00:01:36,800 --> 00:01:40,559",Curious the bamboo cutter approached it.,"00:01:36,800","00:01:40,559",96.8,100.559,3.7590000000000003
6,"00:01:43,649 --> 00:01:47,700","As he approached it, the light flowed into the ground...","00:01:43,649","00:01:47,700",103.649,107.7,4.051000000000002
7,"00:01:47,800 --> 00:01:51,045",creating something he had never seen before.,"00:01:47,800","00:01:51,045",107.8,111.045,3.2450000000000045
8,"00:01:51,145 --> 00:01:53,000",What is this?,"00:01:51,145","00:01:53,000",111.145,113,1.855000000000004
9,"00:01:53,110 --> 00:01:55,140",Bamboo shoot sprouting so early?,"00:01:53,110","00:01:55,140",113.11,115.14,2.030000000000001
10,"00:01:55,160 --> 00:01:57,190",Even before the plums?,"00:01:55,160","00:01:57,190",115.16,117.19,2.030000000000001
11,"00:02:04,375 --> 00:02:06,300",What is this?,"00:02:04,375","00:02:06,300",124.375,126.3,1.9249999999999972
12,"00:02:19,600 --> 00:02:21,085",Have mercy on me!,"00:02:19,600","00:02:21,085",139.6,141.085,1.4850000000000136
13,"00:02:27,565 --> 00:02:28,858",Hello...,"00:02:27,565","00:02:28,858",147.565,148.858,1.2930000000000064
14,"00:02:29,316 --> 00:02:34,000","May I ask please, who might you be, my lady?","00:02:29,316","00:02:34,000",149.316,154,4.6839999999999975
15,"00:03:03,360 --> 00:03:05,217",Oh my!,"00:03:03,360","00:03:05,217",183.36,185.217,1.8569999999999993
16,"00:03:05,237 --> 00:03:07,094",She is such a beautiful little princess!,"00:03:05,237","00:03:07,094",185.237,187.094,1.8569999999999993
17,"00:03:07,448 --> 00:03:09,972",It's a miracle!,"00:03:07,448","00:03:09,972",187.448,189.972,2.524000000000001
18,"00:03:09,992 --> 00:03:12,516","This must be a blessing from Heaven, I'm sure of it!","00:03:09,992","00:03:12,516",189.992,192.516,2.524000000000001
19,"00:04:03,710 --> 00:04:04,817",You're back early.,"00:04:03,710","00:04:04,817",243.71,244.817,1.1069999999999993
20,"00:04:04,837 --> 00:04:05,944",Something wrong?,"00:04:04,837","00:04:05,944",244.837,245.944,1.1069999999999993
21,"00:04:15,683 --> 00:04:16,705",Ah!,"00:04:15,683","00:04:16,705",255.683,256.705,1.0219999999999914
22,"00:04:16,725 --> 00:04:17,747",What a beautiful little doll!,"00:04:16,725","00:04:17,747",256.725,257.747,1.0219999999999914
23,"00:04:17,893 --> 00:04:18,999","No quiet, you'll wake her.","00:04:17,893","00:04:18,999",257.893,258.999,1.1060000000000514
24,"00:04:19,019 --> 00:04:20,125",She's sleeping.,"00:04:19,019","00:04:20,125",259.019,260.125,1.1059999999999945
25,"00:04:20,271 --> 00:04:20,765",Ah!,"00:04:20,271","00:04:20,765",260.271,260.765,0.49399999999997135
26,"00:04:20,785 --> 00:04:21,279",Shh.,"00:04:20,785","00:04:21,279",260.785,261.279,0.49399999999997135
27,"00:04:21,299 --> 00:04:21,793",Shh.,"00:04:21,299","00:04:21,793",261.299,261.793,0.4940000000000282
28,"00:04:27,101 --> 00:04:28,936",She just appeared to me in the grove.,"00:04:27,101","00:04:28,936",267.101,268.936,1.8349999999999795
29,"00:04:29,061 --> 00:04:30,187",Appeared?,"00:04:29,061","00:04:30,187",269.061,270.187,1.1260000000000332
30,"00:04:30,312 --> 00:04:32,523",Definetly a blessing from Heaven!,"00:04:30,312","00:04:32,523",270.312,272.523,2.2110000000000127
31,"00:04:36,620 --> 00:04:37,414",Hey!,"00:04:36,620","00:04:37,414",276.62,277.414,0.7939999999999827
32,"00:04:37,434 --> 00:04:38,228",Heaven gave it to me!,"00:04:37,434","00:04:38,228",277.434,278.228,0.7939999999999827
33,"00:04:38,372 --> 00:04:39,291",Oh?,"00:04:38,372","00:04:39,291",278.372,279.291,0.9189999999999827
34,"00:04:39,311 --> 00:04:40,230",Well I'm the one who'll raise her.,"00:04:39,311","00:04:40,230",279.311,280.23,0.9190000000000396
35,"00:04:40,374 --> 00:04:42,172",Raise her?,"00:04:40,374","00:04:42,172",280.374,282.172,1.7980000000000018
36,"00:04:42,192 --> 00:04:43,990",She's already a perfect little princess.,"00:04:42,192","00:04:43,990",282.192,283.99,1.7980000000000018
37,"00:04:44,110 --> 00:04:45,642",No no no!,"00:04:44,110","00:04:45,642",284.11,285.642,1.5319999999999823
38,"00:04:45,662 --> 00:04:47,194","Don't be silly, there is more to raising a child than you think.","00:04:45,662","00:04:47,194",285.662,287.194,1.532000000000039
39,"00:04:47,663 --> 00:04:48,747",Right?,"00:04:47,663","00:04:48,747",287.663,288.747,1.0840000000000032
40,"00:04:54,555 --> 00:04:55,412",Here let me take her...,"00:04:54,555","00:04:55,412",294.555,295.412,0.8569999999999709
41,"00:04:55,432 --> 00:04:56,289",Oh!,"00:04:55,432","00:04:56,289",295.432,296.289,0.8569999999999709
42,"00:05:11,655 --> 00:05:13,462",Don't just sit there!,"00:05:11,655","00:05:13,462",311.655,313.462,1.8070000000000164
43,"00:05:13,482 --> 00:05:15,289",Go find a lenght of cloth or something warm I can wrap her in!,"00:05:13,482","00:05:15,289",313.482,315.289,1.8069999999999595
44,"00:05:15,410 --> 00:05:16,890","Don't be upset, sweetheart.","00:05:15,410","00:05:16,890",315.41,316.89,1.4799999999999613
45,"00:05:16,910 --> 00:05:18,390",We're gonna take very good care of you.,"00:05:16,910","00:05:18,390",316.91,318.39,1.4799999999999613
46,"00:05:18,410 --> 00:05:19,890",I promise.,"00:05:18,410","00:05:19,890",318.41,319.89,1.4799999999999613
47,"00:05:20,100 --> 00:05:22,029",Will this work?,"00:05:20,100","00:05:22,029",320.1,322.029,1.9289999999999736
48,"00:05:23,167 --> 00:05:24,463","There, there!","00:05:23,167","00:05:24,463",323.167,324.463,1.2960000000000491
49,"00:05:24,483 --> 00:05:25,779",You're gonna be just fine.,"00:05:24,483","00:05:25,779",324.483,325.779,1.2959999999999923
50,"00:05:25,799 --> 00:05:27,095",That's a good girl!,"00:05:25,799","00:05:27,095",325.799,327.095,1.2960000000000491
51,"00:05:27,212 --> 00:05:27,895",What's happening?,"00:05:27,212","00:05:27,895",327.212,327.895,0.6829999999999927
52,"00:05:27,915 --> 00:05:28,598",What's going on?,"00:05:27,915","00:05:28,598",327.915,328.598,0.6829999999999927
53,"00:05:28,714 --> 00:05:30,341",Can't you see?,"00:05:28,714","00:05:30,341",328.714,330.341,1.6270000000000095
54,"00:05:30,361 --> 00:05:31,988",She wants me to be the person who raises her!,"00:05:30,361","00:05:31,988",330.361,331.988,1.6270000000000095
55,"00:05:34,960 --> 00:05:37,500","Bring me one of the good baskets, please.","00:05:34,960","00:05:37,500",334.96,337.5,2.5400000000000205
56,"00:05:37,610 --> 00:05:39,057",Alright!,"00:05:37,610","00:05:39,057",337.61,339.057,1.4470000000000027
57,"00:05:39,077 --> 00:05:40,524","This is really strange, you know.","00:05:39,077","00:05:40,524",339.077,340.524,1.4470000000000027
58,"00:05:40,544 --> 00:05:41,991",I mean think about it...,"00:05:40,544","00:05:41,991",340.544,341.991,1.4470000000000027
59,"00:05:42,100 --> 00:05:43,677",What if she's a woodland spirit or something?,"00:05:42,100","00:05:43,677",342.1,343.677,1.5769999999999982
60,"00:05:43,802 --> 00:05:45,637",What does she look like to you?,"00:05:43,802","00:05:45,637",343.802,345.637,1.8349999999999795
61,"00:05:45,763 --> 00:05:47,431","A little baby, of course.","00:05:45,763","00:05:47,431",345.763,347.431,1.6680000000000064
62,"00:05:47,556 --> 00:05:48,390",That's right!,"00:05:47,556","00:05:48,390",347.556,348.39,0.8340000000000032
63,"00:05:48,515 --> 00:05:50,800",But she was a beautiful princess just a moment ago!,"00:05:48,515","00:05:50,800",348.515,350.8,2.285000000000025
64,"00:05:50,900 --> 00:05:57,024",Well I have to believe thats Heaven showing us what a beautiful princess she's going to become someday when she's all grown up.,"00:05:50,900","00:05:57,024",350.9,357.024,6.124000000000024
65,"00:05:57,149 --> 00:05:57,983",You're right!,"00:05:57,149","00:05:57,983",357.149,357.983,0.8340000000000032
