id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,549 --> 00:00:22,855","Tokuma Shoten, Yamato Transport and Nippon Television Network present Now the latest weather forecast for northwest Koriko.","00:00:07,549","00:00:22,855",7.549,22.855,15.306000000000001
2,"00:00:23,690 --> 00:00:26,317","Skies are clearing up, thanks to a high-pressure front...","00:00:23,690","00:00:26,317",23.69,26.317,2.626999999999999
3,"00:00:26,527 --> 00:00:29,529",moving in from the continent.,"00:00:26,527","00:00:29,529",26.527,29.529,3.001999999999999
4,"00:00:30,739 --> 00:00:33,282",Mild winds will be blowing in from the northwest...,"00:00:30,739","00:00:33,282",30.739,33.282,2.5429999999999957
5,"00:00:33,408 --> 00:00:36,160",clearing out the clouds by this evening.,"00:00:33,408","00:00:36,160",33.408,36.16,2.7519999999999953
6,"00:00:36,620 --> 00:00:39,413",We'll also have a beautiful full moon tonight.,"00:00:36,620","00:00:39,413",36.62,39.413,2.7929999999999993
7,"00:00:39,758 --> 00:00:41,948",Tomorrow - fair.,"00:00:39,758","00:00:41,948",39.758,41.948,2.1899999999999977
8,"00:00:41,968 --> 00:00:44,158",Day after tomorrow - fair.,"00:00:41,968","00:00:44,158",41.968,44.158,2.1899999999999977
9,"00:00:45,337 --> 00:00:48,589",More news in just a minute.,"00:00:45,337","00:00:48,589",45.337,48.589,3.2519999999999953
10,"00:00:49,591 --> 00:00:52,134","First, a word from today's sponsor.","00:00:49,591","00:00:52,134",49.591,52.134,2.5429999999999993
11,"00:01:21,008 --> 00:01:22,135","Jiji, I've decided!","00:01:21,008","00:01:22,135",81.008,82.135,1.1270000000000095
12,"00:01:22,155 --> 00:01:23,282",I'm gonna do it tonight!,"00:01:22,155","00:01:23,282",82.155,83.282,1.1269999999999953
13,"00:01:25,460 --> 00:01:26,752",Mom!,"00:01:25,460","00:01:26,752",85.46,86.752,1.2920000000000016
14,"00:01:27,973 --> 00:01:29,412","Oh, hi, Miss Dora.","00:01:27,973","00:01:29,412",87.973,89.412,1.4390000000000072
15,"00:01:29,432 --> 00:01:30,871",It's gonna be completely clear tonight.,"00:01:29,432","00:01:30,871",89.432,90.871,1.438999999999993
16,"00:01:31,268 --> 00:01:32,770",I heard the weather forecast.,"00:01:31,268","00:01:32,770",91.268,92.77,1.5019999999999953
17,"00:01:32,790 --> 00:01:34,292",There's gonna be a big full moon.,"00:01:32,790","00:01:34,292",92.79,94.292,1.5019999999999953
18,"00:01:34,553 --> 00:01:37,763",Did you borrow your father's radio without permission again?,"00:01:34,553","00:01:37,763",94.553,97.763,3.210000000000008
19,"00:01:38,140 --> 00:01:39,682","It's okay, isn't it?","00:01:38,140","00:01:39,682",98.14,99.682,1.5420000000000016
20,"00:01:40,392 --> 00:01:42,143","Happy to see you, Miss Dora.","00:01:40,392","00:01:42,143",100.392,102.143,1.7510000000000048
