id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:01:47,770 --> 00:01:49,150",Pirates!,"00:01:47,770","00:01:49,150",107.77,109.15,1.3800000000000097
2,"00:01:49,400 --> 00:01:50,820",We're under attack!,"00:01:49,400","00:01:50,820",109.4,110.82,1.4199999999999875
3,"00:02:16,480 --> 00:02:18,010",Hold them off!,"00:02:16,480","00:02:18,010",136.48,138.01,1.5300000000000011
4,"00:02:18,030 --> 00:02:19,560",Get down on the floor.,"00:02:18,030","00:02:19,560",138.03,139.56,1.5300000000000011
5,"00:02:46,370 --> 00:02:48,270",Tear gas!,"00:02:46,370","00:02:48,270",166.37,168.27,1.9000000000000057
6,"00:02:58,850 --> 00:03:00,490",What are you waiting for?,"00:02:58,850","00:03:00,490",178.85,180.49,1.6400000000000148
7,"00:03:00,510 --> 00:03:02,150",Break it down!,"00:03:00,510","00:03:02,150",180.51,182.15,1.6400000000000148
8,"00:03:11,230 --> 00:03:12,420",Where'd she go?,"00:03:11,230","00:03:12,420",191.23,192.42,1.1899999999999977
9,"00:03:14,030 --> 00:03:14,920",There she is!,"00:03:14,030","00:03:14,920",194.03,194.92,0.8899999999999864
10,"00:03:16,200 --> 00:03:18,340",She's getting away!,"00:03:16,200","00:03:18,340",196.2,198.34,2.140000000000015
11,"00:03:19,070 --> 00:03:21,550","Well, get her!","00:03:19,070","00:03:21,550",199.07,201.55,2.480000000000018
12,"00:03:22,130 --> 00:03:24,850","Mama, don't drop me!","00:03:22,130","00:03:24,850",202.13,204.85,2.719999999999999
13,"00:03:25,760 --> 00:03:27,330",There's the stone.,"00:03:25,760","00:03:27,330",205.76,207.33,1.5700000000000216
14,"00:03:27,350 --> 00:03:28,920","Quick, go next door!","00:03:27,350","00:03:28,920",207.35,208.92,1.5699999999999932
15,"00:03:28,930 --> 00:03:31,230",Get that crystal!,"00:03:28,930","00:03:31,230",208.93,211.23,2.299999999999983
16,"00:03:39,320 --> 00:03:42,020",There goes the crystal.,"00:03:39,320","00:03:42,020",219.32,222.02,2.700000000000017
17,"00:03:52,620 --> 00:06:24,720","Castle in the Sky Two meatballs, please.","00:03:52,620","00:06:24,720",232.62,384.72,152.10000000000002
18,"00:06:24,720 --> 00:06:26,600",Working late?,"00:06:24,720","00:06:26,600",384.72,386.6,1.8799999999999955
19,"00:06:26,600 --> 00:06:28,990",We're finally busy again.,"00:06:26,600","00:06:28,990",386.6,388.99,2.3899999999999864
20,"00:06:29,720 --> 00:06:30,750",Still working?,"00:06:29,720","00:06:30,750",389.72,390.75,1.0299999999999727
21,"00:06:30,750 --> 00:06:31,780",Yeah.,"00:06:30,750","00:06:31,780",390.75,391.78,1.0299999999999727
22,"00:06:42,400 --> 00:06:43,710",What's that?,"00:06:42,400","00:06:43,710",402.4,403.71,1.3100000000000023
23,"00:06:51,410 --> 00:06:52,720",A person!,"00:06:51,410","00:06:52,720",411.41,412.72,1.3100000000000023
24,"00:07:46,510 --> 00:07:47,690",Pazu!,"00:07:46,510","00:07:47,690",466.51,467.69,1.1800000000000068
25,"00:07:47,700 --> 00:07:49,765",What are you up to?,"00:07:47,700","00:07:49,765",467.7,469.765,2.0649999999999977
26,"00:07:49,785 --> 00:07:51,850",Where's my dinner?,"00:07:49,785","00:07:51,850",469.785,471.85,2.0649999999999977
27,"00:07:51,860 --> 00:07:52,700",Boss!,"00:07:51,860","00:07:52,700",471.86,472.7,0.839999999999975
28,"00:07:53,520 --> 00:07:55,700",A girl fell from the sky.,"00:07:53,520","00:07:55,700",473.52,475.7,2.180000000000007
29,"00:08:15,450 --> 00:08:17,890","Boss, she fell from the sky...","00:08:15,450","00:08:17,890",495.45,497.89,2.4399999999999977
30,"00:08:20,500 --> 00:08:22,930",Darn old clunker.,"00:08:20,500","00:08:22,930",500.5,502.93,2.430000000000007
31,"00:08:22,940 --> 00:08:23,945",Boss!,"00:08:22,940","00:08:23,945",502.94,503.945,1.0049999999999955
32,"00:08:23,965 --> 00:08:24,970",A girl...,"00:08:23,965","00:08:24,970",503.965,504.97,1.0050000000000523
33,"00:08:24,980 --> 00:08:27,480",Close Valve No. 2!,"00:08:24,980","00:08:27,480",504.98,507.48,2.5
34,"00:08:36,400 --> 00:08:37,860",Ouch!,"00:08:36,400","00:08:37,860",516.4,517.86,1.4600000000000364
35,"00:08:37,880 --> 00:08:39,340","Pazu, toss me a wrench.","00:08:37,880","00:08:39,340",517.88,519.34,1.4600000000000364
36,"00:08:44,200 --> 00:08:45,065",I'm busy here.,"00:08:44,200","00:08:45,065",524.2,525.065,0.8650000000000091
37,"00:08:45,085 --> 00:08:45,950",You take it.,"00:08:45,085","00:08:45,950",525.085,525.95,0.8650000000000091
38,"00:08:46,570 --> 00:08:48,530",Don't make them wait.,"00:08:46,570","00:08:48,530",526.57,528.53,1.9599999999999227
39,"00:08:51,370 --> 00:08:53,410",Keep a steady hand.,"00:08:51,370","00:08:53,410",531.37,533.41,2.0399999999999636
40,"00:09:10,820 --> 00:09:11,610",Brake!,"00:09:10,820","00:09:11,610",550.82,551.61,0.7899999999999636
41,"00:09:24,610 --> 00:09:25,620",Any luck?,"00:09:24,610","00:09:25,620",564.61,565.62,1.009999999999991
42,"00:09:25,620 --> 00:09:28,170","No silver, no tin even.","00:09:25,620","00:09:28,170",565.62,568.17,2.5499999999999545
43,"00:09:28,570 --> 00:09:30,740",All that wasted work.,"00:09:28,570","00:09:30,740",568.57,570.74,2.169999999999959
44,"00:09:30,740 --> 00:09:33,170",Should we try the east vein?,"00:09:30,740","00:09:33,170",570.74,573.17,2.42999999999995
45,"00:09:33,800 --> 00:09:35,970",That's riddled with old holes.,"00:09:33,800","00:09:35,970",573.8,575.97,2.1700000000000728
46,"00:09:35,970 --> 00:09:38,090",We'll have to start over.,"00:09:35,970","00:09:38,090",575.97,578.09,2.1200000000000045
47,"00:09:38,090 --> 00:09:40,390",That's enough for today.,"00:09:38,090","00:09:40,390",578.09,580.39,2.2999999999999545
48,"00:09:53,270 --> 00:09:54,635",Shut down the boiler.,"00:09:53,270","00:09:54,635",593.27,594.635,1.365000000000009
49,"00:09:54,655 --> 00:09:56,020",Call it a day.,"00:09:54,655","00:09:56,020",594.655,596.02,1.365000000000009
50,"00:09:56,030 --> 00:09:58,280",I'll go under at this rate.,"00:09:56,030","00:09:58,280",596.03,598.28,2.25
51,"00:10:02,440 --> 00:10:05,610","Oil the clunker, Pazu.","00:10:02,440","00:10:05,610",602.44,605.61,3.169999999999959
