id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,133 --> 00:00:35,286","Studio Ghibli, Nippon Television Network, Dentsu, Hakuhodo DYMP, Walt Disney Japan, Mitsubishi, Toho and KDDI present In this world, there's an invisible magic circle.","00:00:07,133","00:00:35,286",7.133,35.286,28.153000000000002
2,"00:00:43,262 --> 00:00:44,347",- So you did date him!,"00:00:43,262","00:00:44,347",43.262,44.347,1.0850000000000009
3,"00:00:44,367 --> 00:00:45,452",- What?,"00:00:44,367","00:00:45,452",44.367,45.452,1.0850000000000009
4,"00:00:48,924 --> 00:00:51,427",There's inside and outside.,"00:00:48,924","00:00:51,427",48.924,51.427,2.503
5,"00:00:52,928 --> 00:00:54,764",Capture the movement.,"00:00:52,928","00:00:54,764",52.928,54.764,1.8360000000000056
6,"00:00:54,940 --> 00:00:55,734",- It's hard.,"00:00:54,940","00:00:55,734",54.94,55.734,0.794000000000004
7,"00:00:55,754 --> 00:00:56,548",- Right?,"00:00:55,754","00:00:56,548",55.754,56.548,0.794000000000004
8,"00:00:56,734 --> 00:00:58,153",- Let's see.,"00:00:56,734","00:00:58,153",56.734,58.153,1.418999999999997
9,"00:00:58,173 --> 00:00:59,592","- Hey, no looking!","00:00:58,173","00:00:59,592",58.173,59.592,1.418999999999997
10,"00:00:59,852 --> 00:01:01,896",These people are inside.,"00:00:59,852","00:01:01,896",59.852,61.896,2.044000000000004
11,"00:01:05,649 --> 00:01:07,777",And I'm outside.,"00:01:05,649","00:01:07,777",65.649,67.777,2.128
12,"00:01:09,278 --> 00:01:11,155",But I don't really care.,"00:01:09,278","00:01:11,155",69.278,71.155,1.8769999999999953
13,"00:01:12,740 --> 00:01:13,783",How's it coming?,"00:01:12,740","00:01:13,783",72.74,73.783,1.0430000000000064
14,"00:01:17,203 --> 00:01:20,831","Um, I... kind of messed up.","00:01:17,203","00:01:20,831",77.203,80.831,3.628
15,"00:01:20,956 --> 00:01:23,125",Let me have a look.,"00:01:20,956","00:01:23,125",80.956,83.125,2.168999999999997
16,"00:01:35,147 --> 00:01:35,962","Oh, no.","00:01:35,147","00:01:35,962",95.147,95.962,0.8149999999999977
17,"00:01:35,982 --> 00:01:36,797",Are you okay?,"00:01:35,982","00:01:36,797",95.982,96.797,0.8149999999999977
18,"00:01:37,108 --> 00:01:43,198","Hey, hey---","00:01:37,108","00:01:43,198",97.108,103.198,6.089999999999989
19,"00:01:43,218 --> 00:01:49,308",I...,"00:01:43,218","00:01:49,308",103.218,109.308,6.090000000000003
20,"00:01:52,488 --> 00:01:53,864",I hate myself.,"00:01:52,488","00:01:53,864",112.488,113.864,1.3760000000000048
21,"00:02:13,342 --> 00:02:14,677",Anna...,"00:02:13,342","00:02:14,677",133.342,134.677,1.3349999999999795
22,"00:02:15,845 --> 00:02:18,013",You're fine now.,"00:02:15,845","00:02:18,013",135.845,138.013,2.1680000000000064
23,"00:02:18,190 --> 00:02:20,026","Oh, I'm so glad.","00:02:18,190","00:02:20,026",138.19,140.026,1.8360000000000127
24,"00:02:20,046 --> 00:02:21,882","Thank you, Doctor.","00:02:20,046","00:02:21,882",140.046,141.882,1.8360000000000127
25,"00:02:23,269 --> 00:02:26,147","Anna, do you feel all right now?","00:02:23,269","00:02:26,147",143.269,146.147,2.877999999999986
26,"00:02:26,438 --> 00:02:27,523",I'm fine.,"00:02:26,438","00:02:27,523",146.438,147.523,1.085000000000008
27,"00:02:28,023 --> 00:02:30,818",You looked like you were in agony.,"00:02:28,023","00:02:30,818",148.023,150.818,2.795000000000016
28,"00:02:30,943 --> 00:02:32,862",Where was your inhaler?,"00:02:30,943","00:02:32,862",150.943,152.862,1.9189999999999827
29,"00:02:34,530 --> 00:02:36,699",I cost you money again.,"00:02:34,530","00:02:36,699",154.53,156.699,2.169000000000011
30,"00:02:37,116 --> 00:02:39,243",Why do you say that?,"00:02:37,116","00:02:39,243",157.116,159.243,2.126999999999981
31,"00:02:42,872 --> 00:02:44,206","Oh, Miyoko.","00:02:42,872","00:02:44,206",162.872,164.206,1.3339999999999748
32,"00:02:44,842 --> 00:02:46,719",I brought Anna's bag.,"00:02:44,842","00:02:46,719",164.842,166.719,1.8769999999999811
33,"00:02:46,739 --> 00:02:48,616",Her notebook is inside.,"00:02:46,739","00:02:48,616",166.739,168.616,1.8770000000000095
34,"00:02:49,044 --> 00:02:50,212","Why, thank you.","00:02:49,044","00:02:50,212",169.044,170.212,1.167999999999978
35,"00:02:50,389 --> 00:02:51,954",We were just nearby.,"00:02:50,389","00:02:51,954",170.389,171.954,1.5649999999999977
