id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,048 --> 00:00:20,853","Tokuma Shoten, Nippon Television Network, Dentsu and Studio Ghibli present In ancient times the land lay covered in forest.","00:00:07,048","00:00:20,853",7.048,20.853,13.805000000000001
2,"00:00:20,979 --> 00:00:27,901",Here dwelt the spirits of nature from time immemorial.,"00:00:20,979","00:00:27,901",20.979,27.901,6.922000000000001
3,"00:01:10,945 --> 00:01:31,298",PRINCESS MONONOKE Yakul!,"00:01:10,945","00:01:31,298",70.945,91.298,20.35300000000001
4,"00:01:37,055 --> 00:01:38,055",Ashitaka!,"00:01:37,055","00:01:38,055",97.055,98.055,1
5,"00:01:38,848 --> 00:01:41,683",Oracle says to get back to the village.,"00:01:38,848","00:01:41,683",98.848,101.683,2.835000000000008
6,"00:01:41,810 --> 00:01:43,143","The Old Man, too.","00:01:41,810","00:01:43,143",101.81,103.143,1.3329999999999984
7,"00:01:44,280 --> 00:01:45,365",- Something's wrong.,"00:01:44,280","00:01:45,365",104.28,105.365,1.0849999999999937
8,"00:01:45,385 --> 00:01:46,470",- The birds are gone.,"00:01:45,385","00:01:46,470",105.385,106.47,1.0849999999999937
9,"00:01:46,606 --> 00:01:47,564",The animals too.,"00:01:46,606","00:01:47,564",106.606,107.564,0.9579999999999984
10,"00:01:48,034 --> 00:01:49,932",I'll go to him.,"00:01:48,034","00:01:49,932",108.034,109.932,1.8979999999999961
11,"00:01:49,952 --> 00:01:51,850",You'd better go now.,"00:01:49,952","00:01:51,850",109.952,111.85,1.8979999999999961
12,"00:02:30,108 --> 00:02:31,358",Something's coming.,"00:02:30,108","00:02:31,358",150.108,151.358,1.25
13,"00:02:39,043 --> 00:02:40,149",- What is it?,"00:02:39,043","00:02:40,149",159.043,160.149,1.1059999999999945
14,"00:02:40,169 --> 00:02:41,275",- Don't know.,"00:02:40,169","00:02:41,275",160.169,161.275,1.1059999999999945
15,"00:02:41,295 --> 00:02:42,401",It's not human.,"00:02:41,295","00:02:42,401",161.295,162.401,1.106000000000023
16,"00:02:42,871 --> 00:02:45,706",Oracle summoned everyone back to the village.,"00:02:42,871","00:02:45,706",162.871,165.706,2.8349999999999795
