id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:00,800 --> 00:00:15,676","A Studio Ghibli Film Tokuma Shoten Publishing Nippon TV Hakuhodo Studio Ghibli present Raccoon, Raccoon, Will you come out and play?","00:00:00,800","00:00:15,676",0.8,15.676,14.876
2,"00:00:15,949 --> 00:00:18,611","l can't, l'm eating right now.","00:00:15,949","00:00:18,611",15.949,18.611,2.662000000000001
3,"00:00:19,052 --> 00:00:21,748",What are you eating?,"00:00:19,052","00:00:21,748",19.052,21.748,2.6960000000000015
4,"00:00:22,389 --> 00:00:25,358",Pickled plums and radish.,"00:00:22,389","00:00:25,358",22.389,25.358,2.969000000000001
5,"00:00:25,725 --> 00:00:27,989",Can l have a bite?,"00:00:25,725","00:00:27,989",25.725,27.989,2.2639999999999993
6,"00:00:30,697 --> 00:00:46,008",POM POKO THE GREAT RACCOON BATTLE We used to live near the humans.,"00:00:30,697","00:00:46,008",30.697,46.008,15.311000000000003
7,"00:00:47,547 --> 00:00:50,243","But no, not to swipe their food.","00:00:47,547","00:00:50,243",47.547,50.243,2.696000000000005
8,"00:00:50,517 --> 00:00:56,582","Where there are farms and fields, There are always frogs and grasshoppers and mice and moles.","00:00:50,517","00:00:56,582",50.517,56.582,6.064999999999998
9,"00:00:56,890 --> 00:00:59,358",And persimmon and mulberry seeds.,"00:00:56,890","00:00:59,358",56.89,59.358,2.4679999999999964
10,"00:00:59,592 --> 00:01:02,322",Much more food than in the mountains.,"00:00:59,592","00:01:02,322",59.592,62.322,2.730000000000004
11,"00:01:02,862 --> 00:01:07,856",Then suddenly last spring the house became vacant.,"00:01:02,862","00:01:07,856",62.862,67.856,4.993999999999993
12,"00:01:08,701 --> 00:01:13,400",We decided to move in and make it our nest.,"00:01:08,701","00:01:13,400",68.701,73.4,4.699000000000012
13,"00:01:23,716 --> 00:01:27,311",lt was a truly wonderful year.,"00:01:23,716","00:01:27,311",83.716,87.311,3.595000000000013
14,"00:01:27,587 --> 00:01:32,024","A house with a garden, it was like a dream!","00:01:27,587","00:01:32,024",87.587,92.024,4.436999999999998
15,"00:01:32,459 --> 00:01:34,086",Until one day...,"00:01:32,459","00:01:34,086",92.459,94.086,1.6269999999999953
16,"00:01:47,407 --> 00:01:51,036",Usually we don't have any strict rules about our territory.,"00:01:47,407","00:01:51,036",107.407,111.036,3.629000000000005
17,"00:01:51,444 --> 00:01:53,002",But this was different.,"00:01:51,444","00:01:53,002",111.444,113.002,1.5579999999999927
18,"00:01:53,613 --> 00:01:57,071","Wherever we went for food, we'd always butt heads with others.","00:01:53,613","00:01:57,071",113.613,117.071,3.4579999999999984
19,"00:01:57,484 --> 00:02:02,047","There were fights, our house was captured, And finally...","00:01:57,484","00:02:02,047",117.484,122.047,4.563000000000002
20,"00:02:03,923 --> 00:02:06,016","Pom Poko year 31 , autumn.","00:02:03,923","00:02:06,016",123.923,126.016,2.0930000000000035
21,"00:02:06,593 --> 00:02:10,120",Deforestation began in TAKAGA Forest.,"00:02:06,593","00:02:10,120",126.593,130.12,3.527000000000001
22,"00:02:10,563 --> 00:02:15,557",And the Raccoons of the Tama Hills faced their ultimate battle.,"00:02:10,563","00:02:15,557",130.563,135.557,4.994
23,"00:02:44,764 --> 00:02:48,700",Commander of the Red Army was Gonta of Takaga Forest.,"00:02:44,764","00:02:48,700",164.764,168.7,3.9359999999999786
24,"00:02:49,102 --> 00:02:53,698",Commander of the Blue Army was Seizaemon of Suzuka Forest.,"00:02:49,102","00:02:53,698",169.102,173.698,4.596000000000004
25,"00:02:56,876 --> 00:03:07,109","Not many people know this, but when humans aren't looking, all raccoons stand on 2 feet.","00:02:56,876","00:03:07,109",176.876,187.109,10.233000000000004
26,"00:03:59,639 --> 00:04:04,599",The battle was brave and intense but it didn't go on very long.,"00:03:59,639","00:04:04,599",239.639,244.599,4.9599999999999795
27,"00:04:05,255 --> 00:04:06,475","Go, go!","00:04:05,255","00:04:06,475",245.255,246.475,1.2199999999999989
28,"00:04:06,495 --> 00:04:07,715",Takaga Forest!,"00:04:06,495","00:04:07,715",246.495,247.715,1.2199999999999989
29,"00:04:07,735 --> 00:04:08,955","Go, go!","00:04:07,735","00:04:08,955",247.735,248.955,1.2199999999999989
30,"00:04:08,975 --> 00:04:10,195",Suzuka Forest!,"00:04:08,975","00:04:10,195",248.975,250.195,1.2199999999999989
31,"00:04:10,984 --> 00:04:14,852","Red or Blue, whoever wins they both will lose.","00:04:10,984","00:04:14,852",250.984,254.852,3.867999999999995
32,"00:04:15,121 --> 00:04:17,089",The loser will be killed.,"00:04:15,121","00:04:17,089",255.121,257.089,1.9679999999999893
33,"00:04:17,523 --> 00:04:22,483","lf the Red dies today, the Blue will die tomorrow.","00:04:17,523","00:04:22,483",257.523,262.483,4.9599999999999795
34,"00:04:22,962 --> 00:04:25,988",Too many raccoons with no place to live.,"00:04:22,962","00:04:25,988",262.962,265.988,3.0260000000000105
35,"00:04:26,266 --> 00:04:28,757",Where will they go?,"00:04:26,266","00:04:28,757",266.266,268.757,2.4909999999999854
36,"00:04:29,145 --> 00:04:30,422",There is no place.,"00:04:29,145","00:04:30,422",269.145,270.422,1.2770000000000437
37,"00:04:30,442 --> 00:04:31,719",They'll all die.,"00:04:30,442","00:04:31,719",270.442,271.719,1.2769999999999868
38,"00:04:32,038 --> 00:04:37,499","Whoever wins, Red or Blue, they both lose.","00:04:32,038","00:04:37,499",272.038,277.499,5.461000000000013
39,"00:04:37,877 --> 00:04:41,574","For the sake of all, they'll be killed.","00:04:37,877","00:04:41,574",277.877,281.574,3.6970000000000027
40,"00:04:41,814 --> 00:04:46,046","lf they don't all die, the survivors must not mate.","00:04:41,814","00:04:46,046",281.814,286.046,4.231999999999971
41,"00:04:46,686 --> 00:04:49,484",No more children.,"00:04:46,686","00:04:49,484",286.686,289.484,2.798000000000002
42,"00:04:49,756 --> 00:04:55,854",Or else there won't be enough forest to hold them.,"00:04:49,756","00:04:55,854",289.756,295.854,6.098000000000013
43,"00:05:00,867 --> 00:05:06,703","At the demand of wild Granny Oroku, the raccoons looked down at the earth and they were stunned.","00:05:00,867","00:05:06,703",300.867,306.703,5.835999999999956
