id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:03:03,725 --> 00:03:05,727",Shh!,"00:03:03,725","00:03:05,727",183.725,185.727,2.0020000000000095
2,"00:07:21,733 --> 00:07:24,694","Sosuke, come right back up, OK?","00:07:21,733","00:07:24,694",441.733,444.694,2.9610000000000127
3,"00:07:24,778 --> 00:07:25,862",OK!,"00:07:24,778","00:07:25,862",444.778,445.862,1.0840000000000032
4,"00:08:43,857 --> 00:08:44,858",Huh?,"00:08:43,857","00:08:44,858",523.857,524.858,1.0009999999999764
5,"00:09:06,004 --> 00:09:08,006",A goldfish!,"00:09:06,004","00:09:08,006",546.004,548.006,2.0019999999999527
6,"00:09:20,143 --> 00:09:21,811",Can't get it out.,"00:09:20,143","00:09:21,811",560.143,561.811,1.6680000000000064
7,"00:09:39,245 --> 00:09:40,580",That was weird.,"00:09:39,245","00:09:40,580",579.245,580.58,1.3350000000000364
8,"00:09:51,091 --> 00:09:52,092",Ow!,"00:09:51,091","00:09:52,092",591.091,592.092,1.0009999999999764
9,"00:09:55,095 --> 00:09:56,930",It looks kind of dead.,"00:09:55,095","00:09:56,930",595.095,596.93,1.8349999999999227
10,"00:10:01,027 --> 00:10:01,967",It licked me!,"00:10:01,027","00:10:01,967",601.027,601.967,0.9399999999999409
11,"00:10:01,987 --> 00:10:02,927",It's alive!,"00:10:01,987","00:10:02,927",601.987,602.927,0.9400000000000546
12,"00:10:05,605 --> 00:10:08,108","Sosuke, we'll be late!","00:10:05,605","00:10:08,108",605.605,608.108,2.502999999999929
13,"00:10:08,191 --> 00:10:10,860","Mom, a goldfish!","00:10:08,191","00:10:10,860",608.191,610.86,2.6689999999999827
14,"00:10:10,944 --> 00:10:12,070",Sosuke!,"00:10:10,944","00:10:12,070",610.944,612.07,1.12600000000009
15,"00:10:22,163 --> 00:10:23,957",This wind is crazy.,"00:10:22,163","00:10:23,957",622.163,623.957,1.7939999999999827
16,"00:10:24,040 --> 00:10:27,127","Sosuke, I'm starting the car now!","00:10:24,040","00:10:27,127",624.04,627.127,3.086999999999989
17,"00:10:35,478 --> 00:10:36,334",Well?,"00:10:35,478","00:10:36,334",635.478,636.334,0.8559999999999945
18,"00:10:36,354 --> 00:10:37,210",Have you found my daughter?,"00:10:36,354","00:10:37,210",636.354,637.21,0.8559999999999945
19,"00:10:42,443 --> 00:10:44,196",What?,"00:10:42,443","00:10:44,196",642.443,644.196,1.7530000000000427
