id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,137 --> 00:03:12,979","Studio Ghibli, Nippon Television Network, Dentsu, Hakuhodo DYMP, Walt Disney Japan, Mitsubishi and Toho present Planning & Screenplay by Hayao Miyazaki Produced by Toshio Suzuki Based on the Original Graphic Novel by Chizuru Takahashi & Tetsuro Sayama Screenplay by Keiko Niwa Music by Satoshi Takebe FROM UP ON POPPY HILL ""Summer of Farewells"" Performed by Aoi Teshima ""Ue wo Muite Aruko"" Performed by Kyu Sakamoto Character Design Katsuya Kondo Imaging Atsushi Okui Sound Design Koji Kasamatsu Masami Nagasawa Junichi Okada Keiko Takeshita Rumi Hiiragi Yuriko Ishida Jun Fubuki Takashi Naito Shunsuke Kazama Nao Omori Teruyuki Kagawa Directed by Goro Miyazaki The pot is bubbling, The rice is steaming The cutting board is standing by The tofu is jiggly, The eggs are slippery The natto is sticky as can be Drop the eggs in a frying pan Stir the miso in a pot Pile the rice in a server Everything is ready to go Time to wake up the house Get everyone to the table Now dig in, eat hearty It's another sunny day Another beautiful breakfast together And I made it all for you Hurry up, dig in now But be sure to taste every bite Another beautiful breakfast together And I made it all for you Hurry up, dig in now But be sure to taste every bite Morning!","00:00:07,137","00:03:12,979",7.1370000000000005,192.979,185.842
2,"00:03:13,208 --> 00:03:14,523",Good morning.,"00:03:13,208","00:03:14,523",193.208,194.523,1.3149999999999977
3,"00:03:14,543 --> 00:03:15,858",Is Sora up yet?,"00:03:14,543","00:03:15,858",194.543,195.858,1.3149999999999977
4,"00:03:16,201 --> 00:03:17,911",Still in front of the mirror.,"00:03:16,201","00:03:17,911",196.201,197.911,1.710000000000008
5,"00:03:19,037 --> 00:03:20,288",Morning.,"00:03:19,037","00:03:20,288",199.037,200.288,1.2510000000000048
6,"00:03:23,082 --> 00:03:25,752",Night shift again?,"00:03:23,082","00:03:25,752",203.082,205.752,2.670000000000016
7,"00:03:26,294 --> 00:03:27,921",And tonight too.,"00:03:26,294","00:03:27,921",206.294,207.921,1.6269999999999811
8,"00:03:28,671 --> 00:03:30,882",Shall I save dinner for you?,"00:03:28,671","00:03:30,882",208.671,210.882,2.2110000000000127
9,"00:03:31,341 --> 00:03:32,884","Yes, thanks.","00:03:31,341","00:03:32,884",211.341,212.884,1.542999999999978
10,"00:03:33,301 --> 00:03:35,178",That's real service.,"00:03:33,301","00:03:35,178",213.301,215.178,1.8770000000000095
