id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,716 --> 00:01:43,319","Tokuma Shoten, Japan Airlines, Nippon Network Studio Ghibli (C) 1992 PORCO ROSSO (Italian Tenor On Radio) Yeah?","00:00:07,716","00:01:43,319",7.716,103.319,95.60300000000001
2,"00:01:43,447 --> 00:01:44,553",Mr.Rosso!,"00:01:43,447","00:01:44,553",103.447,104.553,1.1059999999999945
3,"00:01:44,573 --> 00:01:45,679",We've got a job for you!,"00:01:44,573","00:01:45,679",104.573,105.679,1.1060000000000088
4,"00:01:45,699 --> 00:01:46,805",The Mamma Aiutos gang is on the move.,"00:01:45,699","00:01:46,805",105.699,106.805,1.1060000000000088
5,"00:01:46,950 --> 00:01:48,807",The Mamma Aiutos Gang?,"00:01:46,950","00:01:48,807",106.95,108.807,1.8569999999999993
6,"00:01:48,827 --> 00:01:50,684",I'm kinda busy here.,"00:01:48,827","00:01:50,684",108.827,110.684,1.8569999999999993
7,"00:01:51,361 --> 00:01:54,956",We need you to protect one of our ships carring a fortune in Gold.,"00:01:51,361","00:01:54,956",111.361,114.956,3.594999999999999
8,"00:01:55,073 --> 00:01:56,165",Is that all?,"00:01:55,073","00:01:56,165",115.073,116.165,1.092000000000013
9,"00:01:56,783 --> 00:01:58,251",Well Uh...,"00:01:56,783","00:01:58,251",116.783,118.251,1.4680000000000035
10,"00:01:58,702 --> 00:02:01,000",There's a group of school girls on board too.,"00:01:58,702","00:02:01,000",118.702,121,2.298000000000002
11,"00:02:02,122 --> 00:02:03,920",That is gonna cost you.,"00:02:02,122","00:02:03,920",122.122,123.92,1.7980000000000018
12,"00:02:04,082 --> 00:02:05,835","See here Bouty Hunter, no fight gauging!","00:02:04,082","00:02:05,835",124.082,125.835,1.7530000000000001
13,"00:02:06,000 --> 00:02:07,575",We've got a contract with you!,"00:02:06,000","00:02:07,575",126,127.575,1.5750000000000028
14,"00:02:07,736 --> 00:02:08,527",Yeah.,"00:02:07,736","00:02:08,527",127.736,128.527,0.7909999999999826
15,"00:02:08,547 --> 00:02:09,338",Yeah...yeah!I'm on it.,"00:02:08,547","00:02:09,338",128.547,129.338,0.7909999999999968
16,"00:02:10,797 --> 00:02:11,923",Stop the ship!,"00:02:10,797","00:02:11,923",130.797,131.923,1.1260000000000048
17,"00:02:12,382 --> 00:02:14,851",Stop the ship.Or we sink it!,"00:02:12,382","00:02:14,851",132.382,134.851,2.468999999999994
18,"00:02:14,968 --> 00:02:17,016","Wow, pirates!","00:02:14,968","00:02:17,016",134.968,137.016,2.048000000000002
19,"00:02:17,147 --> 00:02:18,486",Pirates.,"00:02:17,147","00:02:18,486",137.147,138.486,1.3389999999999986
20,"00:02:18,506 --> 00:02:19,845",Seaplane pirates!,"00:02:18,506","00:02:19,845",138.506,139.845,1.3389999999999986
21,"00:02:46,133 --> 00:02:49,052",Someday I'm get off my lazy butt and give this thing an overhaul.,"00:02:46,133","00:02:49,052",166.133,169.052,2.9189999999999827
22,"00:03:21,243 --> 00:03:22,745",Are you seaplane pirates?,"00:03:21,243","00:03:22,745",201.243,202.745,1.5020000000000095
23,"00:03:22,879 --> 00:03:23,359",Yes.,"00:03:22,879","00:03:23,359",202.879,203.359,0.4800000000000182
24,"00:03:23,379 --> 00:03:23,859",That's right!,"00:03:23,379","00:03:23,859",203.379,203.859,0.4800000000000182
25,"00:03:24,037 --> 00:03:25,505",So we're hostages?,"00:03:24,037","00:03:25,505",204.037,205.505,1.4679999999999893
26,"00:03:25,622 --> 00:03:26,544",That's right too.,"00:03:25,622","00:03:26,544",205.622,206.544,0.921999999999997
27,"00:03:26,665 --> 00:03:28,087",Smells like you never bathe.,"00:03:26,665","00:03:28,087",206.665,208.087,1.421999999999997
28,"00:03:28,208 --> 00:03:29,255",You're real sharp.,"00:03:28,208","00:03:29,255",208.208,209.255,1.046999999999997
29,"00:03:29,543 --> 00:03:30,760",So cute!,"00:03:29,543","00:03:30,760",209.543,210.76,1.2169999999999845
30,"00:03:30,877 --> 00:03:32,470",Could use some love.,"00:03:30,877","00:03:32,470",210.877,212.47,1.5929999999999893
31,"00:03:33,224 --> 00:03:33,943",Hey!,"00:03:33,224","00:03:33,943",213.224,213.943,0.7190000000000225
32,"00:03:33,963 --> 00:03:34,682",Hey!,"00:03:33,963","00:03:34,682",213.963,214.682,0.7189999999999941
33,"00:03:34,702 --> 00:03:35,421",Cmon kids we're in a hurry.,"00:03:34,702","00:03:35,421",214.702,215.421,0.7189999999999941
34,"00:03:36,049 --> 00:03:38,723",Boss do we have to take all 15 of 'em?,"00:03:36,049","00:03:38,723",216.049,218.723,2.6740000000000066
35,"00:03:38,844 --> 00:03:41,518",Yeah it's not nice to seperate them from their friends!,"00:03:38,844","00:03:41,518",218.844,221.518,2.6740000000000066
36,"00:04:00,500 --> 00:04:01,066",Ah!,"00:04:00,500","00:04:01,066",240.5,241.066,0.5660000000000025
37,"00:04:01,086 --> 00:04:01,652",Looks like I'm late!,"00:04:01,086","00:04:01,652",241.086,241.652,0.5659999999999741
38,"00:04:01,918 --> 00:04:04,375",Aka Hearty!,"00:04:01,918","00:04:04,375",241.918,244.375,2.4569999999999936
39,"00:04:04,395 --> 00:04:06,852",The Mama Auito gang has taken the girls and the gold!,"00:04:04,395","00:04:06,852",244.395,246.852,2.4569999999999936
40,"00:04:07,257 --> 00:04:08,284",They went that way.,"00:04:07,257","00:04:08,284",247.257,248.284,1.0269999999999868
41,"00:04:08,304 --> 00:04:09,331",They went that...,"00:04:08,304","00:04:09,331",248.304,249.331,1.0269999999999868
42,"00:04:17,851 --> 00:04:19,333","No, not that way!","00:04:17,851","00:04:19,333",257.851,259.333,1.4820000000000277
43,"00:04:19,353 --> 00:04:20,835",That's wrong way.,"00:04:19,353","00:04:20,835",259.353,260.835,1.481999999999971
44,"00:04:21,688 --> 00:04:25,739",Calm down.,"00:04:21,688","00:04:25,739",261.688,265.739,4.050999999999988
45,"00:04:25,759 --> 00:04:29,810","I know what I'm doin' That Mama Aiuto gang is so cheap,they'll fly just of out sight and hide on the nearest island.","00:04:25,759","00:04:29,810",265.759,269.81,4.050999999999988
46,"00:04:30,020 --> 00:04:32,193",Just to save money on gasoline.,"00:04:30,020","00:04:32,193",270.02,272.193,2.173000000000002
47,"00:04:35,702 --> 00:04:37,683",Damn!,"00:04:35,702","00:04:37,683",275.702,277.683,1.9809999999999945
