id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,100 --> 00:00:12,981","Tokuma Shoten, Studio Ghibli, Nippon Television Network, Dentsu, Walt Disney Japan, Tohokushinsha Film and Mitsubishi present Good luck, Chihiro Hope we meet again Chihiro?","00:00:07,100","00:00:12,981",7.1,12.981,5.881
2,"00:00:13,001 --> 00:00:18,882",Chihiro!,"00:00:13,001","00:00:18,882",13.001,18.882,5.881000000000002
3,"00:00:19,102 --> 00:00:20,561",We're almost there.,"00:00:19,102","00:00:20,561",19.102,20.561,1.4589999999999996
4,"00:00:23,523 --> 00:00:25,482",This really is the middle of nowhere.,"00:00:23,523","00:00:25,482",23.523,25.482,1.9589999999999996
5,"00:00:25,608 --> 00:00:28,402",I'll have to shop in the next town.,"00:00:25,608","00:00:28,402",25.608,28.402,2.7940000000000005
6,"00:00:28,570 --> 00:00:30,612",We'll just have to make do.,"00:00:28,570","00:00:30,612",28.57,30.612,2.041999999999998
7,"00:00:33,033 --> 00:00:35,034","Look, there's the elementary school.","00:00:33,033","00:00:35,034",33.033,35.034,2.0009999999999977
8,"00:00:35,160 --> 00:00:36,952","That's your new school, Chihiro.","00:00:35,160","00:00:36,952",35.16,36.952,1.7920000000000016
9,"00:00:37,829 --> 00:00:40,080","Why, it looks very nice.","00:00:37,829","00:00:40,080",37.829,40.08,2.2509999999999977
10,"00:00:47,797 --> 00:00:49,923",I liked my old school.,"00:00:47,797","00:00:49,923",47.797,49.923,2.1260000000000048
11,"00:00:54,137 --> 00:00:56,972","Mom, my flowers got bent.","00:00:54,137","00:00:56,972",54.137,56.972,2.835000000000001
12,"00:00:57,223 --> 00:00:59,683","No wonder, the way you squeeze them.","00:00:57,223","00:00:59,683",57.223,59.683,2.460000000000001
13,"00:00:59,809 --> 00:01:02,770",A little water and they'll perk right up.,"00:00:59,809","00:01:02,770",59.809,62.77,2.9610000000000056
14,"00:01:03,813 --> 00:01:07,399","My first bouquet, and it's farewell flowers.","00:01:03,813","00:01:07,399",63.813,67.399,3.5859999999999985
15,"00:01:07,525 --> 00:01:10,986",What about the rose you got for your birthday?,"00:01:07,525","00:01:10,986",67.525,70.986,3.4609999999999985
16,"00:01:11,122 --> 00:01:12,603",One rose?,"00:01:11,122","00:01:12,603",71.122,72.603,1.4809999999999945
17,"00:01:12,623 --> 00:01:14,104",One rose isn't a bouquet.,"00:01:12,623","00:01:14,104",72.623,74.104,1.4809999999999945
18,"00:01:14,282 --> 00:01:15,908",You dropped the card.,"00:01:14,282","00:01:15,908",74.282,75.908,1.6260000000000048
19,"00:01:16,044 --> 00:01:18,213",Now pull yourself together.,"00:01:16,044","00:01:18,213",76.044,78.213,2.168999999999997
20,"00:01:18,233 --> 00:01:20,402",This is a busy day for us.,"00:01:18,233","00:01:20,402",78.233,80.402,2.168999999999997
21,"00:01:39,651 --> 00:01:50,391",SPIRITED AWAY Wait a minute.,"00:01:39,651","00:01:50,391",99.651,110.391,10.740000000000009
22,"00:01:50,411 --> 00:02:01,151",Did I take a wrong turn?,"00:01:50,411","00:02:01,151",110.411,121.151,10.739999999999995
23,"00:02:01,621 --> 00:02:03,080",I don't get it.,"00:02:01,621","00:02:03,080",121.621,123.08,1.4590000000000032
24,"00:02:03,206 --> 00:02:05,332",That must be it up there.,"00:02:03,206","00:02:05,332",123.206,125.332,2.1259999999999906
25,"00:02:06,167 --> 00:02:08,210",The blue one on the end.,"00:02:06,167","00:02:08,210",126.167,128.21,2.0430000000000064
26,"00:02:08,628 --> 00:02:09,962",That's it.,"00:02:08,628","00:02:09,962",128.628,129.962,1.3340000000000032
27,"00:02:10,547 --> 00:02:13,048",I guess I turned off too soon.,"00:02:10,547","00:02:13,048",130.547,133.048,2.5010000000000048
28,"00:02:13,299 --> 00:02:15,175",Maybe if we go straight?,"00:02:13,299","00:02:15,175",133.299,135.175,1.8760000000000048
29,"00:02:15,353 --> 00:02:16,584","Oh, please.","00:02:15,353","00:02:16,584",135.353,136.584,1.2309999999999945
30,"00:02:16,604 --> 00:02:17,835",That's how we always get lost.,"00:02:16,604","00:02:17,835",136.604,137.835,1.2309999999999945
31,"00:02:17,971 --> 00:02:19,972",Let's just see what's up here.,"00:02:17,971","00:02:19,972",137.971,139.972,2.0010000000000048
32,"00:02:20,400 --> 00:02:22,193",- What are those things?,"00:02:20,400","00:02:22,193",140.4,142.193,1.7930000000000064
33,"00:02:22,213 --> 00:02:24,006",- Houses for the guardian spirits.,"00:02:22,213","00:02:24,006",142.213,144.006,1.7930000000000064
34,"00:02:30,900 --> 00:02:32,484","Dad, are you sure?","00:02:30,900","00:02:32,484",150.9,152.484,1.5840000000000032
35,"00:02:32,610 --> 00:02:35,195","Don't worry, we've got 4-wheel drive.","00:02:32,610","00:02:35,195",152.61,155.195,2.5849999999999795
36,"00:02:35,738 --> 00:02:37,156","Sit down, Chihiro.","00:02:35,738","00:02:37,156",155.738,157.156,1.4180000000000064
37,"00:02:57,353 --> 00:02:58,480",What are you doing?,"00:02:57,353","00:02:58,480",177.353,178.48,1.1269999999999811
38,"00:02:58,500 --> 00:02:59,627",Slow down!,"00:02:58,500","00:02:59,627",178.5,179.627,1.1270000000000095
