id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,007 --> 00:02:33,950","Tokuma Shoten Presents My Neighbor Totoro Executive Producer Yasuyoshi Tokuma Produced by Tatsumi Yamashita and Hideo Ogata Supervising Animator Yoshiharu Sato Art Director Kazuo Oga Music by Joe Hisaishi Producer Toru Hara Written and Directed by Hayao Miyazaki Dad, do you want a caramel?","00:00:07,007","00:02:33,950",7.007,153.95,146.94299999999998
2,"00:02:33,955 --> 00:02:35,397",Thanks.,"00:02:33,955","00:02:35,397",153.955,155.397,1.4419999999999789
3,"00:02:35,417 --> 00:02:36,859",Aren't you tired?,"00:02:35,417","00:02:36,859",155.417,156.859,1.4420000000000073
4,"00:02:36,865 --> 00:02:37,741",All right.,"00:02:36,865","00:02:37,741",156.865,157.741,0.8760000000000048
5,"00:02:37,741 --> 00:02:38,867",We're almost there.,"00:02:37,741","00:02:38,867",157.741,158.867,1.1259999999999764
6,"00:02:50,379 --> 00:02:51,380","Mei, hide!","00:02:50,379","00:02:51,380",170.379,171.38,1.0010000000000048
7,"00:02:57,552 --> 00:02:59,225",It wasn't a policeman.,"00:02:57,552","00:02:59,225",177.552,179.225,1.6730000000000018
8,"00:03:31,972 --> 00:03:33,351",Hello.,"00:03:31,972","00:03:33,351",211.972,213.351,1.3789999999999907
9,"00:03:33,371 --> 00:03:34,750",Are your parents around?,"00:03:33,371","00:03:34,750",213.371,214.75,1.3789999999999907
10,"00:03:36,842 --> 00:03:38,094",Thanks.,"00:03:36,842","00:03:38,094",216.842,218.094,1.2519999999999811
11,"00:03:40,272 --> 00:03:42,214",I'm Kusakabe!,"00:03:40,272","00:03:42,214",220.272,222.214,1.9420000000000073
12,"00:03:42,234 --> 00:03:44,176",We've just arrived!,"00:03:42,234","00:03:44,176",222.234,224.176,1.9419999999999789
13,"00:03:44,933 --> 00:03:47,186",A pleasure to meet you!,"00:03:44,933","00:03:47,186",224.933,227.186,2.2530000000000143
14,"00:03:47,436 --> 00:03:48,983",Welcome!,"00:03:47,436","00:03:48,983",227.436,228.983,1.546999999999997
15,"00:03:54,276 --> 00:03:55,823",Thank you.,"00:03:54,276","00:03:55,823",234.276,235.823,1.546999999999997
16,"00:04:17,591 --> 00:04:18,467",Here we are!,"00:04:17,591","00:04:18,467",257.591,258.467,0.8759999999999764
17,"00:04:19,760 --> 00:04:21,637",Wait!,"00:04:19,760","00:04:21,637",259.76,261.637,1.8770000000000095
18,"00:04:24,639 --> 00:04:26,107","Mei, there's a bridge!","00:04:24,639","00:04:26,107",264.639,266.107,1.4680000000000177
19,"00:04:26,099 --> 00:04:27,316",A bridge?,"00:04:26,099","00:04:27,316",266.099,267.316,1.2169999999999845
20,"00:04:32,407 --> 00:04:33,559",See that flash?,"00:04:32,407","00:04:33,559",272.407,273.559,1.1520000000000437
21,"00:04:33,579 --> 00:04:34,731",Fish too!,"00:04:33,579","00:04:34,731",273.579,274.731,1.1519999999999868
22,"00:04:35,609 --> 00:04:37,236","So, you like it here?","00:04:35,609","00:04:37,236",275.609,277.236,1.6270000000000095
23,"00:04:39,863 --> 00:04:42,036","Dad, it's terrific!","00:04:39,863","00:04:42,036",279.863,282.036,2.173000000000002
24,"00:04:42,365 --> 00:04:43,867","Look, a tunnel of trees!","00:04:42,365","00:04:43,867",282.365,283.867,1.5020000000000095
25,"00:04:46,286 --> 00:04:48,539",Is that our house?,"00:04:46,286","00:04:48,539",286.286,288.539,2.252999999999986
26,"00:04:52,667 --> 00:04:54,260",Come on!,"00:04:52,667","00:04:54,260",292.667,294.26,1.5930000000000177
27,"00:05:07,140 --> 00:05:09,313",It's a wreck!,"00:05:07,140","00:05:09,313",307.14,309.313,2.173000000000002
28,"00:05:09,309 --> 00:05:10,856",Wreck!,"00:05:09,309","00:05:10,856",309.309,310.856,1.5469999999999686
29,"00:05:10,852 --> 00:05:12,525",Looks like a haunted house!,"00:05:10,852","00:05:12,525",310.852,312.525,1.6730000000000018
30,"00:05:12,521 --> 00:05:13,363",Haunted?,"00:05:12,521","00:05:13,363",312.521,313.363,0.8419999999999845
31,"00:05:21,112 --> 00:05:22,364",And it's all rotten!,"00:05:21,112","00:05:22,364",321.112,322.364,1.2519999999999527
32,"00:05:34,042 --> 00:05:35,760",It's gonna fall down!,"00:05:34,042","00:05:35,760",334.042,335.76,1.7180000000000177
33,"00:05:35,752 --> 00:05:37,550",Fall down!,"00:05:35,752","00:05:37,550",335.752,337.55,1.7980000000000018
34,"00:05:47,472 --> 00:05:49,190","Look, Mei!","00:05:47,472","00:05:49,190",347.472,349.19,1.7180000000000177
35,"00:05:51,601 --> 00:05:52,898",See?,"00:05:51,601","00:05:52,898",351.601,352.898,1.2970000000000255
36,"00:06:02,028 --> 00:06:03,746",It's huge.,"00:06:02,028","00:06:03,746",362.028,363.746,1.717999999999961
37,"00:06:09,369 --> 00:06:11,838","Dad, there's a huge tree!","00:06:09,369","00:06:11,838",369.369,371.838,2.468999999999994
38,"00:06:12,581 --> 00:06:14,424",It's a camphor tree.,"00:06:12,581","00:06:14,424",372.581,374.424,1.842999999999961
39,"00:06:16,418 --> 00:06:18,420",Camphor tree...,"00:06:16,418","00:06:18,420",376.418,378.42,2.0020000000000095
40,"00:06:27,679 --> 00:06:28,601",Oops!,"00:06:27,679","00:06:28,601",387.679,388.601,0.9220000000000255
41,"00:06:31,266 --> 00:06:32,142",An acorn!,"00:06:31,266","00:06:32,142",391.266,392.142,0.8759999999999764
42,"00:06:33,935 --> 00:06:35,778",Show me.,"00:06:33,935","00:06:35,778",393.935,395.778,1.8430000000000177
43,"00:06:37,272 --> 00:06:38,774",Another one!,"00:06:37,272","00:06:38,774",397.272,398.774,1.5020000000000095
44,"00:06:43,820 --> 00:06:46,289",One for me!,"00:06:43,820","00:06:46,289",403.82,406.289,2.468999999999994
45,"00:06:52,255 --> 00:06:53,532",Out of the way.,"00:06:52,255","00:06:53,532",412.255,413.532,1.2769999999999868
46,"00:06:53,552 --> 00:06:54,829",I can't open the screens.,"00:06:53,552","00:06:54,829",413.552,414.829,1.2769999999999868
47,"00:06:55,498 --> 00:06:56,624",Acorns!,"00:06:55,498","00:06:56,624",415.498,416.624,1.1260000000000332
