id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:26,980 --> 00:01:15,590",WHISPER OF THE HEART Shizuku HONNA Yoko Seiji TAKAHASHI Issei Shizuku's Father TACHIBANA Takashi Shizuku's Mother MUROI Shigeru Baron TSUYUGUCHI Shigeru World Emporium' Proprietor KOBAYASHI Keiju - Hello.,"00:00:26,980","00:01:15,590",26.98,75.59,48.61
2,"00:01:15,610 --> 00:02:04,220","- Hot, isn't it?","00:01:15,610","00:02:04,220",75.61,124.22,48.61
3,"00:02:08,110 --> 00:02:09,240",I'm home.,"00:02:08,110","00:02:09,240",128.11,129.24,1.1299999999999955
4,"00:02:13,240 --> 00:02:14,990",Thanks.,"00:02:13,240","00:02:14,990",133.24,134.99,1.75
5,"00:02:15,025 --> 00:02:18,200",You don't need a bag for just milk!,"00:02:15,025","00:02:18,200",135.025,138.2,3.174999999999983
6,"00:02:18,235 --> 00:02:19,620",They put it in one.,"00:02:18,235","00:02:19,620",138.235,139.62,1.384999999999991
7,"00:02:19,665 --> 00:02:21,443",Just say no.,"00:02:19,665","00:02:21,443",139.665,141.443,1.77800000000002
8,"00:02:21,463 --> 00:02:23,241",Pour me some too.,"00:02:21,463","00:02:23,241",141.463,143.241,1.77800000000002
9,"00:02:23,285 --> 00:02:24,790","Dad, want some barley tea?","00:02:23,285","00:02:24,790",143.285,144.79,1.5049999999999955
10,"00:02:25,330 --> 00:02:28,590","Please, I'll come there.","00:02:25,330","00:02:28,590",145.33,148.59,3.259999999999991
11,"00:02:29,350 --> 00:02:30,527",- Thanks.,"00:02:29,350","00:02:30,527",149.35,150.527,1.1769999999999925
12,"00:02:30,547 --> 00:02:31,724",The word processor open?,"00:02:30,547","00:02:31,724",150.547,151.724,1.1769999999999925
13,"00:02:31,744 --> 00:02:32,921",- I'm still printing.,"00:02:31,744","00:02:32,921",151.744,152.921,1.1769999999999925
14,"00:02:33,930 --> 00:02:36,550",I should buy an electronic notebook.,"00:02:33,930","00:02:36,550",153.93,156.55,2.6200000000000045
15,"00:02:39,680 --> 00:02:42,140",You could've gone to your aunt's too.,"00:02:39,680","00:02:42,140",159.68,162.14,2.4599999999999795
16,"00:02:42,860 --> 00:02:43,865",No.,"00:02:42,860","00:02:43,865",162.86,163.865,1.0049999999999955
17,"00:02:43,885 --> 00:02:44,890",Onee-chan wears me out.,"00:02:43,885","00:02:44,890",163.885,164.89,1.0049999999999955
18,"00:02:46,110 --> 00:02:48,150","Oh, I've got work tomorrow.","00:02:46,110","00:02:48,150",166.11,168.15,2.039999999999992
19,"00:02:48,185 --> 00:02:49,650",Do you need lunch?,"00:02:48,185","00:02:49,650",168.185,169.65,1.4650000000000034
20,"00:02:49,685 --> 00:02:51,440","No, I'll eat out.","00:02:49,685","00:02:51,440",169.685,171.44,1.7549999999999955
21,"00:02:51,475 --> 00:02:55,530",The library's busy going to a bar code system.,"00:02:51,475","00:02:55,530",171.475,175.53,4.055000000000007
22,"00:02:55,565 --> 00:02:58,410",I like the book cards better.,"00:02:55,565","00:02:58,410",175.565,178.41,2.844999999999999
23,"00:02:59,620 --> 00:03:01,200",Me too.,"00:02:59,620","00:03:01,200",179.62,181.2,1.579999999999984
24,"00:03:01,235 --> 00:03:03,660","Hey, this isn't right...","00:03:01,235","00:03:03,660",181.235,183.66,2.424999999999983
25,"00:03:03,695 --> 00:03:04,960",What?,"00:03:03,695","00:03:04,960",183.695,184.96,1.2650000000000148
26,"00:03:06,040 --> 00:03:08,380",Did you leave out a line?,"00:03:06,040","00:03:08,380",186.04,188.38,2.3400000000000034
27,"00:03:09,720 --> 00:03:11,015",- You're right!,"00:03:09,720","00:03:11,015",189.72,191.015,1.2949999999999875
28,"00:03:11,035 --> 00:03:12,330",- Let me go first.,"00:03:11,035","00:03:12,330",191.035,192.33,1.295000000000016
29,"00:03:12,375 --> 00:03:15,130",I have to get this right or my professor will complain.,"00:03:12,375","00:03:15,130",192.375,195.13,2.7549999999999955
30,"00:03:15,165 --> 00:03:20,470",Note: Amasawa Seiji This guy...,"00:03:15,165","00:03:20,470",195.165,200.47,5.305000000000007
31,"00:03:21,680 --> 00:03:24,020","You can read, but don't stay up too late.","00:03:21,680","00:03:24,020",201.68,204.02,2.3400000000000034
32,"00:03:24,065 --> 00:03:24,567",Yeah.,"00:03:24,065","00:03:24,567",204.065,204.567,0.5020000000000095
33,"00:03:24,587 --> 00:03:25,089",Good night.,"00:03:24,587","00:03:25,089",204.587,205.089,0.5020000000000095
34,"00:03:34,490 --> 00:03:37,370",I thought I'd seen that name before.,"00:03:34,490","00:03:37,370",214.49,217.37,2.8799999999999955
35,"00:03:40,280 --> 00:03:41,240",Here too.,"00:03:40,280","00:03:41,240",220.28,221.24,0.960000000000008
36,"00:03:43,160 --> 00:03:52,460",Note: Amasawa Seiji He's taken all these books out before me.,"00:03:43,160","00:03:52,460",223.16,232.46,9.300000000000011
37,"00:04:00,400 --> 00:04:02,060",Amasawa Seiji.,"00:04:00,400","00:04:02,060",240.4,242.06,1.6599999999999966
38,"00:04:02,080 --> 00:04:03,740",What's he like?,"00:04:02,080","00:04:03,740",242.08,243.74,1.6599999999999966
39,"00:04:03,760 --> 00:04:05,420",Is he good-looking?,"00:04:03,760","00:04:05,420",243.76,245.42,1.6599999999999966
40,"00:04:23,750 --> 00:04:25,295",Shizuku!,"00:04:23,750","00:04:25,295",263.75,265.295,1.545000000000016
41,"00:04:25,315 --> 00:04:26,860",Get up!,"00:04:25,315","00:04:26,860",265.315,266.86,1.545000000000016
42,"00:04:26,905 --> 00:04:28,580",I'm leaving!,"00:04:26,905","00:04:28,580",266.905,268.58,1.6750000000000114
43,"00:04:30,590 --> 00:04:32,450",Did you sleep in your clothes?,"00:04:30,590","00:04:32,450",270.59,272.45,1.8600000000000136
44,"00:04:32,470 --> 00:04:34,330",Put the rice on.,"00:04:32,470","00:04:34,330",272.47,274.33,1.8599999999999568
45,"00:04:34,375 --> 00:04:36,800",Bye!,"00:04:34,375","00:04:36,800",274.375,276.8,2.4250000000000114
46,"00:04:40,060 --> 00:04:41,480","Oh, no!","00:04:40,060","00:04:41,480",280.06,281.48,1.420000000000016
47,"00:04:41,500 --> 00:04:42,920",I've got to meet Yuko!,"00:04:41,500","00:04:42,920",281.5,282.92,1.420000000000016
48,"00:04:45,560 --> 00:04:46,930",My purse!,"00:04:45,560","00:04:46,930",285.56,286.93,1.3700000000000045
49,"00:04:48,190 --> 00:04:50,650",You ran back upstairs again?,"00:04:48,190","00:04:50,650",288.19,290.65,2.4599999999999795
50,"00:04:50,685 --> 00:04:51,440",Yeah.,"00:04:50,685","00:04:51,440",290.685,291.44,0.7549999999999955
51,"00:04:52,320 --> 00:04:54,150",That's funny.,"00:04:52,320","00:04:54,150",292.32,294.15,1.829999999999984
52,"00:04:54,860 --> 00:04:56,240",Try by the phone...,"00:04:54,860","00:04:56,240",294.86,296.24,1.3799999999999955
53,"00:04:57,320 --> 00:04:58,240",Found it!,"00:04:57,320","00:04:58,240",297.32,298.24,0.9200000000000159
54,"00:04:58,275 --> 00:04:59,820",Just where you left it...,"00:04:58,275","00:04:59,820",298.275,299.82,1.545000000000016
