id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,225 --> 00:00:18,966","Studio Ghibli, Nippon Television Network, Dentsu, Hakuhodo DYMP, Walt Disney Japan, Mitsubishi, Toho and KDDI present THE WIND RISES The wind is rising!","00:00:07,225","00:00:18,966",7.225,18.966,11.741000000000001
2,"00:00:18,986 --> 00:00:30,727",We must try to live.,"00:00:18,986","00:00:30,727",18.986,30.727,11.741
3,"00:04:59,549 --> 00:05:00,632",Here it is.,"00:04:59,549","00:05:00,632",299.549,300.632,1.0830000000000268
4,"00:05:06,014 --> 00:05:07,848",May I borrow it?,"00:05:06,014","00:05:07,848",306.014,307.848,1.8340000000000032
5,"00:05:08,192 --> 00:05:09,423",- It's in English.,"00:05:08,192","00:05:09,423",308.192,309.423,1.2309999999999945
6,"00:05:09,443 --> 00:05:10,674",- I have a dictionary.,"00:05:09,443","00:05:10,674",309.443,310.674,1.2309999999999945
7,"00:05:10,862 --> 00:05:11,676",- Very good.,"00:05:10,862","00:05:11,676",310.862,311.676,0.8139999999999645
8,"00:05:11,696 --> 00:05:12,510",Give it a go.,"00:05:11,696","00:05:12,510",311.696,312.51,0.8139999999999645
9,"00:05:12,530 --> 00:05:13,344",- Thank you.,"00:05:12,530","00:05:13,344",312.53,313.344,0.8140000000000214
10,"00:05:31,799 --> 00:05:32,905",- Knock it off.,"00:05:31,799","00:05:32,905",331.799,332.905,1.1059999999999945
11,"00:05:32,925 --> 00:05:34,031",- Butt out!,"00:05:32,925","00:05:34,031",332.925,334.031,1.1059999999999945
12,"00:05:34,333 --> 00:05:35,709",Better get going.,"00:05:34,333","00:05:35,709",334.333,335.709,1.3759999999999764
13,"00:05:35,835 --> 00:05:37,544",Jiro...,"00:05:35,835","00:05:37,544",335.835,337.544,1.7090000000000032
14,"00:05:38,463 --> 00:05:40,172","No more bullying, okay?","00:05:38,463","00:05:40,172",338.463,340.172,1.7090000000000032
15,"00:05:57,648 --> 00:06:00,358",You look quite the hero.,"00:05:57,648","00:06:00,358",357.648,360.358,2.7099999999999795
16,"00:06:00,860 --> 00:06:02,736",I slipped and fell.,"00:06:00,860","00:06:02,736",360.86,362.736,1.8759999999999764
17,"00:06:03,414 --> 00:06:04,811",- Fighting is never justified.,"00:06:03,414","00:06:04,811",363.414,364.811,1.3969999999999914
18,"00:06:04,831 --> 00:06:06,228",- I know.,"00:06:04,831","00:06:06,228",364.831,366.228,1.3969999999999914
19,"00:06:07,450 --> 00:06:09,493",Go have your snack.,"00:06:07,450","00:06:09,493",367.45,369.493,2.0430000000000064
20,"00:06:10,203 --> 00:06:11,244",Thank you.,"00:06:10,203","00:06:11,244",370.203,371.244,1.0410000000000537
21,"00:06:13,498 --> 00:06:15,415","Big brother, you're back!","00:06:13,498","00:06:15,415",373.498,375.415,1.91700000000003
22,"00:06:17,011 --> 00:06:18,930",I was waiting for you.,"00:06:17,011","00:06:18,930",377.011,378.93,1.9189999999999827
23,"00:06:18,950 --> 00:06:20,869",Let's pick bamboo grass.,"00:06:18,950","00:06:20,869",378.95,380.869,1.9190000000000396
24,"00:06:22,423 --> 00:06:23,882",Big brother!,"00:06:22,423","00:06:23,882",382.423,383.882,1.4590000000000032
25,"00:06:26,969 --> 00:06:29,429",I want to pick bamboo grass.,"00:06:26,969","00:06:29,429",386.969,389.429,2.4599999999999795
26,"00:06:34,310 --> 00:06:36,603",You promised to go with me.,"00:06:34,310","00:06:36,603",394.31,396.603,2.2930000000000064
27,"00:06:36,771 --> 00:06:37,979",I've got homework.,"00:06:36,771","00:06:37,979",396.771,397.979,1.20799999999997
28,"00:06:44,487 --> 00:06:46,196",That's not homework.,"00:06:44,487","00:06:46,196",404.487,406.196,1.7090000000000032
29,"00:06:46,364 --> 00:06:47,739",It's an English magazine.,"00:06:46,364","00:06:47,739",406.364,407.739,1.375
30,"00:06:51,119 --> 00:06:52,744",What a stupid moustache.,"00:06:51,119","00:06:52,744",411.119,412.744,1.625
31,"00:06:53,204 --> 00:06:55,789",He's a famous Italian aircraft designer.,"00:06:53,204","00:06:55,789",413.204,415.789,2.5849999999999795
32,"00:06:56,092 --> 00:06:58,344",His name is Caproni.,"00:06:56,092","00:06:58,344",416.092,418.344,2.2520000000000095
33,"00:06:58,364 --> 00:07:00,616",It says he's a count.,"00:06:58,364","00:07:00,616",418.364,420.616,2.2520000000000095
34,"00:07:00,805 --> 00:07:02,348",- Your face is scratched.,"00:07:00,805","00:07:02,348",420.805,422.348,1.5430000000000064
35,"00:07:02,368 --> 00:07:03,911",- Leave it alone.,"00:07:02,368","00:07:03,911",422.368,423.911,1.5430000000000064
36,"00:07:04,340 --> 00:07:06,758",I better put some iodine on it.,"00:07:04,340","00:07:06,758",424.34,426.758,2.4180000000000064
37,"00:07:06,884 --> 00:07:08,802",Would you be quiet?,"00:07:06,884","00:07:08,802",426.884,428.802,1.9180000000000064
38,"00:07:19,605 --> 00:07:21,982","Big brother, what are you doing?","00:07:19,605","00:07:21,982",439.605,441.982,2.3770000000000095
39,"00:07:22,191 --> 00:07:23,817",You're not allowed up here.,"00:07:22,191","00:07:23,817",442.191,443.817,1.6260000000000332
40,"00:07:23,985 --> 00:07:25,485",You're not wearing glasses.,"00:07:23,985","00:07:25,485",443.985,445.485,1.5
41,"00:07:25,611 --> 00:07:29,990",Focusing on the stars should improve my eyesight.,"00:07:25,611","00:07:29,990",445.611,449.99,4.379000000000019
42,"00:07:31,669 --> 00:07:33,150",- Mother will scold you.,"00:07:31,669","00:07:33,150",451.669,453.15,1.4809999999999945
43,"00:07:33,170 --> 00:07:34,651",- A shooting star!,"00:07:33,170","00:07:34,651",453.17,454.651,1.4809999999999945
44,"00:07:36,038 --> 00:07:37,747",There's another one.,"00:07:36,038","00:07:37,747",456.038,457.747,1.7090000000000032
45,"00:07:39,010 --> 00:07:40,102",They're pretty.,"00:07:39,010","00:07:40,102",459.01,460.102,1.0919999999999845
46,"00:07:40,122 --> 00:07:41,214",See?,"00:07:40,122","00:07:41,214",460.122,461.214,1.0919999999999845
47,"00:07:41,234 --> 00:07:42,326",Like that.,"00:07:41,234","00:07:42,326",461.234,462.326,1.0920000000000414
48,"00:07:43,671 --> 00:07:45,839",There's so many of them.,"00:07:43,671","00:07:45,839",463.671,465.839,2.1680000000000064
49,"00:08:23,211 --> 00:08:25,045",I'm a Japanese boy.,"00:08:23,211","00:08:25,045",503.211,505.045,1.8340000000000032
50,"00:08:30,092 --> 00:08:33,345",I think this is my dream.,"00:08:30,092","00:08:33,345",510.092,513.345,3.2530000000000427
51,"00:08:49,862 --> 00:08:52,405","This is my dream, you know.","00:08:49,862","00:08:52,405",529.862,532.405,2.5430000000000064
52,"00:08:52,615 --> 00:08:54,324",It's mine too.,"00:08:52,615","00:08:54,324",532.615,534.324,1.7089999999999463
53,"00:08:54,533 --> 00:08:55,909",Your dream?,"00:08:54,533","00:08:55,909",534.533,535.909,1.3759999999999764
54,"00:08:56,087 --> 00:08:58,319","Listen, Japanese boy.","00:08:56,087","00:08:58,319",536.087,538.319,2.231999999999971
55,"00:08:58,339 --> 00:09:00,571",You think we are sharing this dream?,"00:08:58,339","00:09:00,571",538.339,540.571,2.231999999999971
56,"00:09:00,957 --> 00:09:01,915",It's strange.,"00:09:00,957","00:09:01,915",540.957,541.915,0.95799999999997
57,"00:09:02,093 --> 00:09:04,241","You're Count Caproni, aren't you?","00:09:02,093","00:09:04,241",542.093,544.241,2.1480000000000246
58,"00:09:04,261 --> 00:09:06,409",I'm very glad to meet you.,"00:09:04,261","00:09:06,409",544.261,546.409,2.1480000000000246
59,"00:09:07,765 --> 00:09:09,191",Interesting.,"00:09:07,765","00:09:09,191",547.765,549.191,1.4260000000000446
60,"00:09:09,211 --> 00:09:10,637","Yes, this is a dream.","00:09:09,211","00:09:10,637",549.211,550.637,1.4259999999999309
61,"00:09:10,657 --> 00:09:12,083",This world is a dream.,"00:09:10,657","00:09:12,083",550.657,552.083,1.4259999999999309
62,"00:09:12,426 --> 00:09:14,094",Welcome to my kingdom.,"00:09:12,426","00:09:14,094",552.426,554.094,1.6680000000000064
63,"00:09:14,220 --> 00:09:15,762",I'm honored.,"00:09:14,220","00:09:15,762",554.22,555.762,1.5419999999999163
