id,times,textString,startTime,endTime,fromSeconds,toSeconds,timeLength
1,"00:00:07,240 --> 00:02:12,298","Tokuma Shoten, Nippon Television, Hakuhodo present Only Yesterday Executive Producers Yasuyoshi TOKUMA Yoshio SASAKI and Ritsuo ISOBE Based on ""Omoide Poroporo"" by Hotaru OKAMOTO and Yuko TONE Voices Miki IMAI Toshiro YANAGIBA Yoko HONNA Music by Masaru HOSHI Theme song performed by Harumi MIYAKO Producer Toshio SUZUKI General Producer Hayao MIYAZAKI Screenplay written & directed by Isao TAKAHATA With ten days off, I figured you'd go abroad.","00:00:07,240","00:02:12,298",7.24,132.298,125.058
2,"00:02:12,398 --> 00:02:15,094","But you're off to Yamagata, right?","00:02:12,398","00:02:15,094",132.398,135.094,2.695999999999998
3,"00:02:15,201 --> 00:02:16,190",Yes.,"00:02:15,201","00:02:16,190",135.201,136.19,0.9890000000000043
4,"00:02:16,302 --> 00:02:18,532",Broke up with your boyfriend?,"00:02:16,302","00:02:18,532",136.302,138.532,2.230000000000018
5,"00:02:19,873 --> 00:02:21,465",I just prefer the countryside.,"00:02:19,873","00:02:21,465",139.873,141.465,1.592000000000013
6,"00:02:21,584 --> 00:02:22,178",- See ya!,"00:02:21,584","00:02:22,178",141.584,142.178,0.5939999999999941
7,"00:02:22,198 --> 00:02:22,792",- Bye!,"00:02:22,198","00:02:22,792",142.198,142.792,0.5939999999999941
8,"00:02:23,209 --> 00:02:24,267",Let's go play!,"00:02:23,209","00:02:24,267",143.209,144.267,1.0579999999999927
9,"00:02:24,377 --> 00:02:25,935",Bye now!,"00:02:24,377","00:02:25,935",144.377,145.935,1.5579999999999927
10,"00:02:26,045 --> 00:02:27,774",Later!,"00:02:26,045","00:02:27,774",146.045,147.774,1.7290000000000134
11,"00:02:28,815 --> 00:02:30,248",Did you get good grades?,"00:02:28,815","00:02:30,248",148.815,150.248,1.4329999999999927
12,"00:02:30,426 --> 00:02:31,919",No.,"00:02:30,426","00:02:31,919",150.426,151.919,1.4930000000000234
